word,count
"laughter",1412
"happiness",1066
"love",31630
"happy",7234
"laughed",1089
"laugh",3072
"laughing",1440
"laughs",1359
"excellent",3594
"joy",2523
"successful",6673
"win",3929
"smile",2425
"won",14032
"rainbow",645
"pleasure",3234
"smiled",598
"rainbows",53
"winning",3113
"celebration",2975
"healthy",1774
"enjoyed",2287
"music",109055
"celebrating",1592
"congratulations",132
"weekend",5257
"rich",7834
"celebrate",2033
"jokes",2561
"comedy",13781
"victory",2410
"free",12846
"loves",2846
"christmas",4390
"fun",6514
"holidays",777
"friendship",1690
"loved",4877
"loving",2633
"sunshine",698
"kissing",383
"beach",6509
"hahaha",1
"friends",13060
"butterflies",341
"sweetest",118
"delicious",963
"vacation",1678
"paradise",1310
"outstanding",1348
"funny",6441
"beautiful",8715
"freedom",4331
"sweetheart",371
"great",33114
"sunlight",548
"flower",1751
"sweetness",617
"success",10568
"chocolate",1226
"peace",2875
"heaven",1836
"award",7718
"hahahaha",0
"splendid",1406
"enjoying",1000
"kissed",262
"attraction",1869
"sun",4134
"hugs",163
"hero",4141
"positive",2219
"celebrated",3236
"delight",1621
"blessed",580
"fantastic",1173
"winner",3104
"birthday",2796
"honesty",602
"butterfly",807
"smiles",645
"entertainment",8492
"sky",2945
"wonderful",5325
"beauty",6681
"funniest",492
"succeed",1421
"kisses",341
"promotion",925
"glorious",1163
"gift",4178
"romantic",6678
"family",29237
"humor",6056
"cupcakes",26
"hahahahaha",0
"weekends",1159
"relax",531
"festival",25884
"honour",23
"mother",17343
"holiday",3133
"lucky",2141
"bonus",566
"super",1226
"b-day",1
"angel",2200
"diamonds",1997
"brilliant",3924
"enjoy",2967
"friendly",1733
"profit",1162
"mother's",1897
"angels",1598
"friend",10847
"finest",1732
"amazing",2381
"grandmother",1903
"kitten",101
"sweet",4176
"champion",1466
"miracle",910
"bday",0
"mom",1515
"kiss",1731
"haha",3
"winners",2376
"millionaire",494
"bright",4614
"excited",1395
"successfully",1232
"entertaining",1931
"excitement",1930
"blessings",129
"cutest",30
"succeeded",1417
"joke",2586
"prize",5293
"shines",282
"genius",2518
"awesome",414
"party",7947
"puppy",235
"smiling",1034
"succeeding",299
"income",1381
"song",19512
"cake",828
"cheers",507
"victories",226
"tasty",283
"achievement",2020
"exciting",3141
"goodness",430
"hug",276
"easier",2931
"billion",1935
"achieved",2132
"gifts",1788
"gold",4942
"cakes",230
"flowers",3521
"merry",548
"lovers",3129
"families",4060
"handsome",2411
"affection",1390
"roses",1029
"candy",919
"diamond",5283
"peacefully",374
"earnings",302
"cute",1092
"interesting",6822
"saturdays",430
"relaxing",302
"praise",1883
"faithful",1038
"heavens",242
"optimistic",1006
"glory",1726
"cherish",247
"moonlight",353
"extraordinary",3810
"earn",1195
"peaceful",495
"romance",3294
"hilarious",1056
"cupcake",19
"congrats",0
"comfort",1928
"feast",609
"glad",776
"x-mas",0
"internet",9754
"profits",952
"grandma",248
"smart",2797
"pleasant",1460
"attractive",2217
"loyal",1140
"babies",988
"jewels",413
"cheer",538
"honest",1534
"wow",606
"opportunities",1724
"courage",1386
"enthusiasm",1921
"triumph",1823
"forests",452
"starlight",125
"sing",5882
"honey",776
"thankful",113
"sex",8948
"fantasy",3908
"dreams",3350
"food",6323
"apple",2182
"wins",997
"miracles",313
"truth",5181
"incredible",1264
"achieve",1695
"adored",660
"mommy",170
"saturday",13596
"grandchildren",2230
"gorgeous",1373
"dances",5006
"lunch",3463
"cash",2930
"perfect",6361
"parties",2167
"surprise",4416
"blessing",644
"sexy",1602
"treasure",1043
"dinner",5885
"kindness",389
"thanks",3200
"pleased",1349
"thanksgiving",652
"thank",1480
"creative",6292
"strength",2843
"valentine",382
"riches",389
"grandfather",1784
"wealth",1383
"sundays",685
"heavenly",376
"hope",8697
"nice",4607
"fabulous",969
"million",32509
"magical",1320
"kids",5434
"awarded",1288
"mothers",1227
"daughters",2390
"friend's",557
"parents",9675
"valentine's",226
"generosity",649
"grateful",1353
"inspired",7265
"favorable",491
"dance",37933
"fantasies",1278
"cares",780
"melody",2525
"intelligent",1652
"wonderland",305
"liberation",735
"satisfaction",821
"beloved",3967
"homemade",632
"movies",18086
"satisfy",644
"precious",1190
"inspiring",673
"caring",622
"respect",3226
"wedding",2655
"cuddle",36
"lovely",2714
"games",5356
"united",21776
"proud",2376
"championship",937
"life",53693
"comfortable",3282
"accomplished",1715
"adorable",326
"grandson",686
"pretty",7101
"rose",5391
"fruits",458
"hahah",0
"dollars",2540
"generous",1620
"couple",9118
"passion",5110
"golden",4453
"prosperity",348
"sweetie",66
"valentines",31
"eating",1903
"luxury",1832
"remarkable",3720
"lover",2734
"adventure",2211
"hooray",55
"money",17450
"intelligence",2555
"fortune",1802
"gently",1439
"educated",919
"helped",8425
"books",19216
"moon",2156
"great-grandchildren",356
"satisfied",823
"cookies",353
"cherished",966
"bride",864
"god",5875
"sunday",15507
"glow",873
"perfectly",2873
"luckily",537
"likes",3334
"baby",5394
"dessert",498
"employed",912
"independence",1767
"juicy",391
"millions",2927
"gladly",179
"progress",2578
"play",45413
"greatest",4966
"dreaming",599
"divine",1074
"hearts",3315
"musicians",13024
"savings",531
"championships",647
"luck",1840
"foods",663
"fresh",5368
"passionate",2170
"mama",915
"helpful",1118
"gardens",2890
"computer",11160
"liberty",1146
"reward",686
"appreciation",1069
"bloom",1382
"hahahah",0
"book",34604
"promoted",1023
"impressed",1413
"companion",1863
"nature",7402
"gentle",2237
"warmth",1362
"bliss",433
"xmas",9
"pal",494
"child",10012
"kind",25090
"knowledge",3063
"health",6087
"relaxed",1074
"films",24814
"musical",26908
"darling",541
"amazed",491
"star",15445
"yummy",33
"pets",504
"appreciate",1646
"danced",3548
"trust",2933
"guitar",6702
"honor",3515
"garden",8839
"sweeter",156
"encouraging",992
"graduated",1525
"heart",14758
"energy",6371
"confidence",1894
"like",151421
"salary",658
"brother",7401
"approved",1158
"wishes",840
"presents",3541
"libraries",807
"prizes",1207
"luv",20
"ecstasy",552
"comforted",153
"google",532
"cartoon",1911
"perfection",829
"ladies",1049
"benefits",1627
