word,count
"laughter",656
"happiness",1530
"love",21395
"happy",3803
"laughed",463
"laugh",967
"laughing",559
"laughs",344
"excellent",1868
"joy",1879
"successful",3830
"win",2354
"smile",1110
"won",3738
"rainbow",370
"pleasure",2823
"smiled",314
"rainbows",42
"winning",1176
"celebration",1184
"healthy",1350
"enjoyed",1359
"music",8390
"celebrating",497
"congratulations",67
"weekend",1436
"rich",7380
"celebrate",726
"jokes",975
"comedy",2159
"victory",1430
"free",8261
"loves",1956
"christmas",3036
"fun",3122
"holidays",558
"friendship",1805
"loved",2932
"loving",2046
"sunshine",280
"kissing",250
"beach",4255
"hahaha",0
"friends",8923
"butterflies",254
"sweetest",75
"delicious",954
"vacation",1216
"paradise",1367
"outstanding",484
"funny",3566
"beautiful",4962
"freedom",4117
"sweetheart",238
"great",21992
"sunlight",352
"flower",835
"sweetness",279
"success",4677
"chocolate",1110
"peace",3204
"heaven",1844
"award",1280
"hahahaha",0
"splendid",1038
"enjoying",491
"kissed",203
"attraction",846
"sun",3182
"hugs",83
"hero",4733
"positive",1059
"celebrated",1636
"delight",1081
"blessed",507
"fantastic",579
"winner",1013
"birthday",1096
"honesty",594
"butterfly",314
"smiles",255
"entertainment",1559
"sky",2127
"wonderful",2415
"beauty",3642
"funniest",171
"succeed",921
"kisses",205
"promotion",334
"glorious",771
"gift",3502
"romantic",3290
"family",23640
"humor",3438
"cupcakes",21
"hahahahaha",0
"weekends",711
"relax",287
"festival",1644
"honour",31
"mother",15163
"holiday",1648
"lucky",1336
"bonus",162
"super",367
"b-day",1
"angel",1105
"diamonds",286
"brilliant",2998
"enjoy",1872
"friendly",1056
"profit",636
"mother's",2925
"angels",1122
"friend",8367
"finest",927
"amazing",1089
"grandmother",1571
"kitten",97
"sweet",2425
"champion",899
"miracle",806
"bday",0
"mom",859
"kiss",804
"haha",0
"winners",289
"millionaire",590
"bright",2268
"excited",406
"successfully",824
"entertaining",1825
"excitement",820
"blessings",232
"cutest",16
"succeeded",858
"joke",1043
"prize",2280
"shines",250
"genius",2467
"awesome",253
"party",6508
"puppy",221
"smiling",507
"succeeding",452
"income",1070
"song",2437
"cake",753
"cheers",118
"victories",281
"tasty",236
"achievement",1515
"exciting",1046
"goodness",353
"hug",128
"easier",1179
