word,count
"laughter",38
"happiness",41
"love",1981
"happy",1162
"laughed",146
"laugh",171
"laughing",92
"laughs",28
"excellent",792
"joy",207
"successful",1228
"win",430
"smile",157
"won",986
"rainbow",128
"pleasure",295
"smiled",53
"rainbows",8
"winning",265
"celebration",295
"healthy",451
"enjoyed",370
"music",2668
"celebrating",121
"congratulations",8
"weekend",1234
"rich",1425
"celebrate",189
"jokes",69
"comedy",206
"victory",222
"free",3384
"loves",194
"christmas",696
"fun",580
"holidays",279
"friendship",87
"loved",631
"loving",538
"sunshine",330
"kissing",17
"beach",4925
"hahaha",0
"friends",2588
"butterflies",45
"sweetest",6
"delicious",218
"vacation",1003
"paradise",248
"outstanding",465
"funny",175
"beautiful",1466
"freedom",293
"sweetheart",23
"great",6243
"sunlight",233
"flower",359
"sweetness",22
"success",1329
"chocolate",330
"peace",392
"heaven",149
"award",395
"hahahaha",0
"splendid",133
"enjoying",187
"kissed",11
"attraction",500
"sun",1907
"hugs",26
"hero",117
"positive",573
"celebrated",272
"delight",143
"blessed",80
"fantastic",152
"winner",158
"birthday",254
"honesty",40
"butterfly",49
"smiles",41
"entertainment",1205
"sky",631
"wonderful",814
"beauty",771
"funniest",9
"succeed",210
"kisses",5
"promotion",131
"glorious",140
"gift",753
"romantic",290
"family",16371
"humor",163
"cupcakes",10
"hahahahaha",0
"weekends",865
"relax",144
"festival",822
"honour",0
"mother",1814
"holiday",672
"lucky",379
"bonus",548
"super",396
"b-day",0
"angel",101
"diamonds",195
"brilliant",194
"enjoy",627
"friendly",589
"profit",1012
"mother's",177
"angels",87
"friend",1521
"finest",225
"amazing",280
"grandmother",356
"kitten",8
"sweet",419
"champion",164
"miracle",78
"bday",0
"mom",223
"kiss",53
"haha",0
"winners",132
"millionaire",77
"bright",790
"excited",241
"successfully",361
"entertaining",241
"excitement",174
"blessings",11
"cutest",3
"succeeded",214
"joke",129
"prize",163
"shines",26
"genius",66
"awesome",54
"party",1258
"puppy",35
"smiling",87
"succeeding",49
"income",5217
"song",416
"cake",193
"cheers",21
"victories",29
"tasty",81
"achievement",138
"exciting",299
"goodness",23
"hug",32
"easier",1057
"billion",1371
"achieved",275
"gifts",244
"gold",1304
"cakes",69
"flowers",744
"merry",28
"lovers",116
"families",3782
"handsome",438
"affection",61
"roses",155
"candy",175
"diamond",437
"peacefully",104
"earnings",162
"cute",97
"interesting",784
"saturdays",170
"relaxing",85
"praise",132
"faithful",61
"heavens",10
"optimistic",287
"glory",134
"cherish",36
"moonlight",30
"extraordinary",375
"earn",395
"peaceful",192
"romance",122
"hilarious",21
"cupcake",5
"congrats",0
"comfort",511
"feast",80
"glad",227
"x-mas",0
"internet",1433
"profits",578
"grandma",21
"smart",444
"pleasant",705
"attractive",1287
"loyal",110
"babies",110
"jewels",43
"cheer",46
"honest",145
"wow",86
"opportunities",766
"courage",58
"enthusiasm",181
"triumph",93
"forests",184
"starlight",20
"sing",174
"honey",130
"thankful",16
"sex",228
"fantasy",230
"dreams",225
"food",2686
"apple",381
"wins",85
"miracles",14
"truth",226
"incredible",225
"achieve",312
"adored",123
"mommy",18
"saturday",1396
"grandchildren",440
"gorgeous",199
"dances",106
"lunch",1273
"cash",1754
"perfect",1034
"parties",1050
"surprise",519
"blessing",113
"sexy",81
"treasure",109
"dinner",2081
"kindness",47
"thanks",369
"pleased",370
"thanksgiving",162
"thank",148
"creative",595
"strength",423
"valentine",33
"riches",52
"grandfather",468
"wealth",335
"sundays",236
"heavenly",44
"hope",1686
"nice",1503
"fabulous",186
"million",32830
"magical",62
"kids",1281
"awarded",307
"mothers",189
"daughters",463
"friend's",80
"parents",2064
"valentine's",23
"generosity",68
"grateful",111
"inspired",394
"favorable",329
"dance",849
"fantasies",46
"cares",72
"melody",62
"intelligent",98
"wonderland",19
"liberation",24
"satisfaction",164
"beloved",709
"homemade",144
"movies",560
"satisfy",234
"precious",149
"inspiring",59
"caring",127
"respect",316
"wedding",318
"cuddle",2
"lovely",471
"games",450
"united",3820
"proud",315
"championship",113
"life",5558
"comfortable",1079
"accomplished",239
"adorable",24
"grandson",168
"pretty",1294
"rose",2119
"fruits",104
"hahah",0
"dollars",1657
"generous",375
"couple",3421
"passion",203
"golden",522
"prosperity",105
"sweetie",4
"valentines",0
"eating",353
"luxury",2443
"remarkable",291
"lover",92
"adventure",241
"hooray",1
"money",7296
"intelligence",77
"fortune",365
"gently",139
"educated",161
"helped",1500
"books",1369
"moon",307
"great-grandchildren",41
"satisfied",281
"cookies",141
"cherished",233
"bride",60
"god",264
"sunday",3824
"glow",101
"perfectly",360
"luckily",73
"likes",526
"baby",840
"dessert",210
"employed",299
"independence",379
"juicy",44
"millions",666
"gladly",26
"progress",529
"play",1773
"greatest",454
"dreaming",36
"divine",82
"hearts",165
"musicians",281
"savings",1650
"championships",50
"luck",296
"foods",337
"fresh",1251
"passionate",88
"mama",21
"helpful",269
"gardens",2869
"computer",2116
"liberty",710
"reward",114
"appreciation",437
"bloom",140
"hahahah",0
"book",1937
"promoted",135
"impressed",212
"companion",214
"nature",1175
"gentle",199
"warmth",148
"bliss",52
"xmas",0
"pal",30
"child",1324
"kind",3402
"knowledge",439
"health",2767
"relaxed",215
"films",490
"musical",506
"darling",45
"amazed",115
"star",775
"yummy",5
"pets",346
"appreciate",333
"danced",46
"trust",2163
"guitar",64
"honor",343
"garden",4404
"sweeter",20
"encouraging",268
"graduated",334
"heart",1325
"energy",1486
"confidence",371
"like",24456
"salary",216
"brother",1077
"approved",2084
"wishes",133
"presents",253
"libraries",261
"prizes",50
"luv",0
"ecstasy",24
"comforted",30
"google",33
"cartoon",60
"perfection",59
"ladies",132
"benefits",1303
"good",8543
"special",3031
"eternal",42
"discount",805
"cool",518
"comfy",23
"genuine",104
"leisure",173
"travel",2534
"rest",2663
"meal",539
"helping",616
"fiesta",25
"imagine",540
"best",4883
"awards",301
"respected",99
"alive",270
"promise",367
"bed",1396
"coffee",1144
"sunset",473
"granddaughter",72
"attracted",1002
"heroes",61
"sleep",510
"skies",72
"spring",3101
"abundant",126
"oceans",13
"ideas",574
"devoted",770
"liked",874
"welcome",577
"favourite",0
"pizza",270
"paid",4656
"lovin",0
"home",20927
"adoring",65
"strawberry",75
"summertime",46
"brighter",67
"opportunity",1570
"fireworks",154
"honored",105
"1st",0
"children's",1021
"parks",1850
"journey",265
"playing",770
"shine",67
"cure",140
"wealthy",670
"fruit",363
"woman's",98
"women",1962
"inspire",74
"valuable",505
"superman",13
"laptop",102
"children",6982
"juice",163
"partners",2207
"son",1965
"stronger",312
"appreciated",245
"tree",1024
"birth",227
"artistic",344
"resort",1589
"fridays",93
"computers",782
"admiration",44
"freely",86
"wise",315
"dream",741
"snack",92
"carnival",227
"yum",4
"quality",2194
"dearest",25
"stars",483
"rabbit",96
"cutie",1
"plants",859
"cookie",69
"toys",282
"useful",510
"glowing",86
"confident",302
"shopping",3934
"sincere",45
"improvements",1860
"princess",402
"memories",275
"bless",14
"faith",465
"thrill",64
"sparkle",29
"true",1330
"comic",103
"earned",348
"desirable",647
"cooking",486
"equality",49
"dancing",258
"powerful",431
"pet",376
"park",20455
"qualities",145
"graduate",654
"wonder",478
"clever",63
"talent",221
"everlasting",11
"strong",2308
"father",2044
"hehehe",0
"pictures",507
"sharing",354
"restaurant",3726
"tenderness",10
"idea",2545
"weddings",101
"talented",135
"sandwich",127
"grand",3568
"charm",439
"caress",1
"mamma",17
"pearl",399
"dove",26
"impressive",303
"cherry",349
"safe",886
"girlfriend",126
"eat",803
"daughter",1590
"yoga",234
"favorite",659
"shining",59
"scholarship",126
"loyalty",75
"awsome",0
"sunrise",205
"hoping",659
"relationship",749
"parent",473
"sleeping",480
"productivity",49
"respects",56
"wisdom",171
"fairy",72
"humanity",82
"dollar",939
"goal",1036
"daddy",36
"olympics",92
"brave",55
"fans",327
"colours",0
"inspiration",208
"dad",144
"saints",59
"correct",536
"easily",1141
"hawaii",258
"honestly",49
"color",1198
"believed",545
"colors",732
"hopes",940
"gentlemen",34
"better",4744
"praised",214
"noble",302
"trip",1958
"determination",169
"hello",84
"dad's",15
"girl",355
"discovered",908
"harmony",132
"reliable",193
"trees",1972
"lullaby",2
"brothers",1247
"concerts",591
"cooperation",206
"giving",1300
"agreed",2127
"photography",176
"intellectual",133
"trips",680
"encouraged",439
"approval",2048
"outdoors",204
"marry",104
"musician",136
"rome",361
"wildlife",454
"goals",276
"thrills",19
"unique",622
"ideal",624
"invitation",95
"plenty",757
"songs",195
"present",1719
"elegant",971
"imagination",169
"great-grandfather",74
"safely",106
"benefit",1465
"birds",384
"praying",23
"saving",475
"bath",31818
"sunny",332
"fancy",326
"eternally",8
"dads",8
"theater",4098
"adore",10
"abroad",191
"singing",177
"reunion",26
"improving",397
"terrific",173
"mountains",627
"ocean",1515
"pancakes",56
"gentleman",51
"vanilla",96
"fair",1407
"photograph",385
"photos",325
"autumn",121
"cozy",231
"piano",429
"massage",182
"concert",500
"outdoor",2690
"correctly",138
"sea",1615
"earns",70
"trusted",61
"gardening",110
"girls",559
"dear",255
"college",3946
"earning",418
"cinema",188
"spa",1679
"unity",55
"albums",37
"secure",443
"wish",529
"youtube",8
"favour",0
"promote",336
"learning",661
"favored",253
"game",818
"fitness",1502
"prayers",47
"healing",61
"learned",843
"dignity",87
"eternity",17
"necklace",29
"encourage",662
"jewelry",438
"worthy",139
"paintings",651
"fulfill",121
"dynamic",128
"stability",277
"voyage",1573
"clean",1228
"infant",81
"pure",234
"flavor",255
"silk",278
"pillow",69
"infants",60
"breeze",131
"accuracy",51
"vitamin",29
"saved",462
"bookstores",98
"taste",504
"comics",13
"easter",127
"bunny",29
"survived",677
"valued",273
"donated",455
"female",272
"moms",24
"photo",309
"email",4
"shakespeare",134
"cheese",412
"farmer",138
"friday",1087
"education",2121
"dreamed",111
"photographs",825
"sailing",525
"relationships",216
"breakfast",1729
"understands",80
"truly",397
"improved",660
"greatly",295
"dancer",89
"toast",73
"liking",39
"#music",0
"pasta",198
"recipes",50
"cooperative",849
"independent",1037
"paris",974
"guarantee",454
"platinum",49
"seas",213
"grace",457
"banana",152
"improvement",1374
"science",1088
"relief",541
"acceptance",191
"superstar",36
"live",6026
"daylight",106
"advantage",1457
"woohoo",0
"kid",184
"discover",270
"horses",467
"solution",684
"forgiveness",13
"sail",134
"popularity",266
"hopefully",134
"universe",116
"accurately",81
"great-grandmother",56
"belonging",93
"toy",191
"childhood",325
"rivers",294
"buddy",69
"swim",221
"interested",1512
"woman",1217
"movie",1762
"understanding",332
"lol",0
"cared",104
"first",20528
"born",1176
"active",1318
"gains",465
"young",3786
"prevail",77
"babe",28
"new",83440
"surprisingly",375
"compassion",29
"singer",439
"champagne",144
"completed",4608
"dedicated",506
"significant",1780
"create",2834
"mansion",1548
"heal",27
"believes",803
"fathers",69
"experienced",634
"artists",1555
"qualified",450
"animal",266
"shared",777
"forgiven",65
"horse",681
"magic",223
"elevated",402
"smooth",257
"air",4190
"santa",598
"bedroom",31806
"protect",1121
"novels",64
"highest",1230
"cream",650
"pies",55
"efficient",439
"naturally",220
"uncle",236
"dreamer",8
"manners",34
"together",2864
"amazon",116
"camera",301
"performers",188
"effectiveness",51
"painting",823
"dogs",589
"pie",142
"raindrops",4
"finished",5843
"coolest",17
"mom's",15
"visions",99
"pool",6385
"jukebox",7
"glee",19
"esteemed",69
"wonders",105
"variety",1345
"guaranteed",229
"creation",438
"real",21009
"green",2914
"museums",478
"reading",1022
"coke",51
"sons",758
"heartbeat",23
"ruby",34
"completion",1177
"worth",2388
"island",13398
"traveling",491
"medal",51
"cafe",933
"share",2121
"pearls",40
"shop",2135
"humans",73
"supporter",82
"style",2497
"popcorn",35
"plus",2122
"rhyme",16
"easy",1911
"effective",749
"savior",25
"married",1144
"sister",878
"future",2992
"america",1624
"seasons",322
"top",3808
"oxygen",69
"intimate",217
"switzerland",149
"papa",28
"tenderly",0
"muffin",32
"courtesy",70
"raise",1174
