word,count
"laughter",815
"happiness",520
"love",14113
"happy",3402
"laughed",411
"laugh",1101
"laughing",544
"laughs",494
"excellent",3493
"joy",1518
"successful",3485
"win",1654
"smile",1109
"won",5853
"rainbow",633
"pleasure",1826
"smiled",309
"rainbows",14
"winning",1527
"celebration",1602
"healthy",879
"enjoyed",1006
"music",51071
"celebrating",779
"congratulations",56
"weekend",2530
"rich",5959
"celebrate",959
"jokes",1230
"comedy",5365
"victory",1028
"free",5580
"loves",1153
"christmas",1998
"fun",3012
"holidays",354
"friendship",717
"loved",1899
"loving",1468
"sunshine",236
"kissing",127
"beach",2272
"hahaha",0
"friends",5786
"butterflies",98
"sweetest",88
"delicious",2113
"vacation",599
"paradise",674
"outstanding",937
"funny",2956
"beautiful",3681
"freedom",2093
"sweetheart",164
"great",15047
"sunlight",219
"flower",681
"sweetness",1528
"success",4730
"chocolate",4667
"peace",1347
"heaven",869
"award",4310
"hahahaha",1
"splendid",919
"enjoying",474
"kissed",130
"attraction",719
"sun",1723
"hugs",42
"hero",1918
"positive",973
"celebrated",1603
"delight",888
"blessed",391
"fantastic",420
"winner",1233
"birthday",1359
"honesty",305
"butterfly",450
"smiles",331
"entertainment",3283
"sky",1072
"wonderful",2945
"beauty",2886
"funniest",304
"succeed",802
"kisses",177
"promotion",586
"glorious",490
"gift",1861
"romantic",3479
"family",13166
"humor",3441
"cupcakes",175
"hahahahaha",1
"weekends",507
"relax",292
"festival",11366
"honour",9
"mother",7900
"holiday",1523
"lucky",883
"bonus",198
"super",428
"b-day",0
"angel",1038
"diamonds",311
"brilliant",2019
"enjoy",1262
"friendly",1006
"profit",628
"mother's",993
"angels",824
"friend",4953
"finest",930
"amazing",755
"grandmother",1196
"kitten",40
"sweet",6872
"champion",745
"miracle",473
"bday",0
"mom",595
"kiss",824
"haha",1
"winners",1141
"millionaire",120
"bright",3167
"excited",489
"successfully",713
"entertaining",930
"excitement",1104
"blessings",57
"cutest",10
"succeeded",826
"joke",982
"prize",2754
"shines",166
"genius",909
"awesome",163
"party",4322
"puppy",73
"smiling",461
"succeeding",181
"income",733
"song",8713
"cake",2998
"cheers",445
"victories",126
"tasty",443
"achievement",952
"exciting",1615
"goodness",180
"hug",91
"easier",1418
"billion",826
"achieved",1150
"gifts",1069
"gold",2348
"cakes",1134
"flowers",1606
"merry",370
"lovers",1921
"families",1628
"handsome",1356
"affection",785
"roses",540
"candy",747
"diamond",1034
"peacefully",106
"earnings",139
"cute",523
"interesting",3933
"saturdays",589
"relaxing",111
"praise",895
"faithful",464
"heavens",142
"optimistic",491
"glory",674
"cherish",75
"moonlight",166
"extraordinary",2475
"earn",592
"peaceful",233
"romance",1620
"hilarious",510
"cupcake",102
"congrats",0
"comfort",885
"feast",512
"glad",332
"x-mas",0
"internet",888
"profits",568
"grandma",171
"smart",977
"pleasant",1363
"attractive",1738
"loyal",508
"babies",434
"jewels",218
"cheer",296
"honest",750
"wow",118
"opportunities",857
"courage",622
"enthusiasm",1177
"triumph",938
"forests",199
"starlight",106
"sing",2915
"honey",1325
"thankful",52
"sex",2691
"fantasy",1720
"dreams",1850
"food",18152
"apple",2141
"wins",682
"miracles",169
"truth",2016
