word,count
"laughter",465
"happiness",662
"love",7287
"happy",3134
"laughed",396
"laugh",726
"laughing",396
"laughs",163
"excellent",1814
"joy",1023
"successful",4592
"win",6368
"smile",912
"won",6373
"rainbow",205
"pleasure",1137
"smiled",245
"rainbows",11
"winning",2425
"celebration",974
"healthy",2730
"enjoyed",1305
"music",7378
"celebrating",579
"congratulations",203
"weekend",2711
"rich",6070
"celebrate",1126
"jokes",578
"comedy",646
"victory",5274
"free",16205
"loves",610
"christmas",2253
"fun",1784
"holidays",452
"friendship",716
"loved",2209
"loving",3008
"sunshine",262
"kissing",163
"beach",3257
"hahaha",0
"friends",7570
"butterflies",126
"sweetest",35
"delicious",307
"vacation",1451
"paradise",407
"outstanding",751
"funny",957
"beautiful",1837
"freedom",9222
"sweetheart",151
"great",19434
"sunlight",282
"flower",460
"sweetness",98
"success",6496
"chocolate",286
"peace",17843
"heaven",723
"award",1389
"hahahaha",1
"splendid",422
"enjoying",573
"kissed",89
"attraction",417
"sun",1747
"hugs",58
"hero",1491
"positive",3122
"celebrated",1007
"delight",467
"blessed",456
"fantastic",215
"winner",1428
"birthday",843
"honesty",628
"butterfly",179
"smiles",190
"entertainment",1943
"sky",1098
"wonderful",1748
"beauty",1447
"funniest",35
"succeed",2322
"kisses",91
"promotion",969
"glorious",462
"gift",1769
"romantic",732
"family",19004
"humor",976
"cupcakes",12
"hahahahaha",0
"weekends",429
"relax",463
"festival",1161
"honour",14
"mother",7391
"holiday",1504
"lucky",1224
"bonus",399
"super",804
"b-day",0
"angel",268
"diamonds",387
"brilliant",1108
"enjoy",2326
"friendly",1220
"profit",2217
"mother's",794
"angels",323
"friend",5529
"finest",496
"amazing",812
"grandmother",1635
"kitten",31
"sweet",1012
"champion",1001
"miracle",687
"bday",0
"mom",793
"kiss",356
"haha",1
"winners",891
"millionaire",222
"bright",1417
"excited",402
"successfully",1442
"entertaining",406
"excitement",541
"blessings",182
"cutest",8
"succeeded",1295
"joke",911
"prize",1647
"shines",88
"genius",716
"awesome",291
"party",19990
"puppy",88
"smiling",423
"succeeding",246
"income",7878
"song",1491
"cake",297
"cheers",309
"victories",597
"tasty",96
"achievement",1877
"exciting",743
"goodness",283
"hug",139
"easier",3074
"billion",16818
"achieved",2134
"gifts",1322
"gold",1961
"cakes",81
"flowers",1806
"merry",134
"lovers",447
"families",11890
"handsome",438
"affection",399
"roses",204
"candy",348
"diamond",1007
"peacefully",731
"earnings",1298
"cute",241
"interesting",2499
"saturdays",103
"relaxing",194
"praise",1296
"faithful",654
"heavens",123
"optimistic",877
"glory",758
"cherish",267
"moonlight",61
"extraordinary",2256
"earn",1695
"peaceful",2173
"romance",483
"hilarious",156
"cupcake",10
"congrats",1
"comfort",1410
"feast",255
"glad",692
"x-mas",2
"internet",4922
"profits",2752
"grandma",122
"smart",1849
"pleasant",663
"attractive",1343
"loyal",963
"babies",1646
"jewels",107
"cheer",481
"honest",2199
"wow",158
"opportunities",2624
"courage",2783
"enthusiasm",940
"triumph",1363
"forests",1378
"starlight",13
"sing",651
"honey",233
"thankful",201
"sex",5220
"fantasy",1068
"dreams",1147
"food",10121
"apple",953
"wins",1152
"miracles",200
"truth",7389
"incredible",664
"achieve",3279
"adored",620
"mommy",137
"saturday",2740
"grandchildren",1787
"gorgeous",189
"dances",251
"lunch",1375
"cash",2937
"perfect",2671
"parties",7282
"surprise",2718
"blessing",608
"sexy",281
"treasure",595
"dinner",2005
"kindness",352
"thanks",2697
"pleased",926
"thanksgiving",662
"thank",1385
"creative",1884
"strength",3123
"valentine",79
"riches",251
"grandfather",1652
"wealth",2400
"sundays",174
"heavenly",119
"hope",12072
"nice",2004
"fabulous",172
"million",27507
"magical",284
"kids",4161
"awarded",969
"mothers",2568
"daughters",1184
"friend's",195
"parents",10631
"valentine's",110
"generosity",652
"grateful",864
"inspired",1462
"favorable",848
"dance",1890
"fantasies",449
"cares",767
"melody",185
"intelligent",1336
"wonderland",73
"liberation",1373
"satisfaction",614
"beloved",4157
"homemade",132
"movies",2357
"satisfy",931
"precious",1041
"inspiring",474
"caring",1087
"respect",5502
"wedding",562
"cuddle",25
"lovely",521
"games",2927
"united",56499
"proud",2099
"championship",436
"life",26140
"comfortable",1408
"accomplished",1199
"adorable",68
"grandson",288
"pretty",2440
"rose",2776
"fruits",463
"hahah",0
"dollars",6748
"generous",1636
"couple",3105
"passion",1264
"golden",1335
"prosperity",1538
"sweetie",9
"valentines",11
"eating",1334
"luxury",1136
"remarkable",2109
"lover",368
"adventure",536
"hooray",42
"money",29624
"intelligence",9569
"fortune",960
"gently",309
"educated",1513
"helped",6225
"books",5526
"moon",1023
"great-grandchildren",230
"satisfied",792
"cookies",218
"cherished",1491
"bride",168
"god",3486
"sunday",4057
"glow",264
"perfectly",1320
"luckily",180
"likes",1342
"baby",3091
"dessert",136
"employed",1059
"independence",4252
"juicy",110
"millions",8055
"gladly",210
"progress",5043
"play",8318
"greatest",3286
"dreaming",221
"divine",466
"hearts",1711
"musicians",893
"savings",4126
"championships",194
"luck",905
"foods",1013
"fresh",2730
"passionate",624
"mama",110
"helpful",1020
"gardens",853
"computer",5366
"liberty",2325
"reward",1222
"appreciation",621
"bloom",406
"hahahah",0
"book",10023
"promoted",959
"impressed",648
"companion",502
"nature",4814
"gentle",519
"warmth",480
"bliss",133
"xmas",2
"pal",229
"child",10737
"kind",10780
"knowledge",3743
"health",28376
"relaxed",408
"films",1347
"musical",1408
"darling",175
"amazed",353
"star",2714
"yummy",7
"pets",309
"appreciate",1263
"danced",257
"trust",4974
"guitar",326
"honor",3035
"garden",2160
"sweeter",58
"encouraging",2372
"graduated",810
"heart",7021
"energy",9117
"confidence",3229
"like",70707
"salary",1309
"brother",3327
"approved",3884
"wishes",1199
"presents",1152
"libraries",1117
"prizes",313
"luv",3
"ecstasy",124
"comforted",237
"google",407
"cartoon",371
"perfection",239
"ladies",368
"benefits",9292
"good",31173
"special",9977
"eternal",442
"discount",620
"cool",1197
"comfy",31
"genuine",1762
"leisure",267
"travel",3539
"rest",7572
"meal",654
"helping",3457
"fiesta",25
"imagine",4058
"best",18745
"awards",1025
"respected",1491
"alive",2305
"promise",4318
"bed",1494
"coffee",1236
"sunset",280
"granddaughter",164
"attracted",789
"heroes",958
"sleep",1417
"skies",401
"spring",3460
"abundant",364
"oceans",295
"ideas",5489
"devoted",3532
"liked",939
"welcome",4008
"favourite",0
"pizza",395
"paid",7299
"lovin",0
"home",21456
"adoring",303
"strawberry",97
"summertime",68
"brighter",195
"opportunity",7020
"fireworks",286
"honored",758
"1st",0
"children's",2791
"parks",2355
"journey",814
"playing",4110
"shine",221
"cure",1158
"wealthy",2509
"fruit",818
"woman's",1028
"women",25323
"inspire",656
"valuable",2147
"superman",107
"laptop",274
"children",30904
"juice",338
"partners",2271
"son",4972
"stronger",2058
"appreciated",609
"tree",1426
"birth",2939
"artistic",1001
"resort",1225
"fridays",84
"computers",2276
"admiration",437
"freely",1051
"wise",2063
"dream",2456
"snack",126
"carnival",153
"yum",10
"quality",5920
"dearest",163
"stars",1638
"rabbit",150
"cutie",7
"plants",3294
"cookie",150
"toys",490
"useful",2921
"glowing",161
"confident",1074
"shopping",1544
"sincere",641
"improvements",1290
"princess",384
"memories",1446
"bless",243
"faith",4078
"thrill",288
"sparkle",49
"true",12134
"comic",562
"earned",1960
"desirable",825
"cooking",502
"equality",1290
"dancing",745
"powerful",6279
"pet",584
"park",8825
"qualities",791
"graduate",2810
"wonder",4391
"clever",637
"talent",1366
"everlasting",72
"strong",9302
"father",7630
"hehehe",0
"pictures",1686
"sharing",1153
"restaurant",1675
"tenderness",68
"idea",12437
"weddings",125
"talented",745
"sandwich",185
"grand",4030
"charm",526
"caress",10
"mamma",2
"pearl",753
"dove",136
"impressive",1357
"cherry",290
"safe",4938
"girlfriend",287
"eat",1933
"daughter",3354
"yoga",107
"favorite",2000
"shining",461
"scholarship",872
"loyalty",1198
"awsome",0
"sunrise",88
"hoping",1489
"relationship",4162
"parent",1913
"sleeping",682
"productivity",1543
"respects",566
"wisdom",2238
"fairy",272
"humanity",1549
"dollar",2949
"goal",5228
"daddy",268
"olympics",745
"brave",1078
"fans",2163
"colours",0
"inspiration",708
"dad",728
"saints",179
"correct",3685
"easily",4360
"hawaii",479
"honestly",544
"color",2081
"believed",3394
"colors",749
"hopes",3208
"gentlemen",231
"better",23254
"praised",625
"noble",990
"trip",2800
"determination",1393
"hello",190
"dad's",100
"girl",2092
"discovered",2314
"harmony",489
"reliable",1387
"trees",1985
"lullaby",20
"brothers",1488
"concerts",466
"cooperation",3181
"giving",6598
"agreed",5318
"photography",384
"intellectual",2400
"trips",1058
"encouraged",2053
"approval",3532
"outdoors",287
"marry",714
"musician",235
"rome",887
"wildlife",1555
"goals",3043
"thrills",71
"unique",1523
"ideal",1391
"invitation",840
"plenty",2403
"songs",1390
"present",7487
"elegant",648
"imagination",1068
"great-grandfather",165
"safely",965
"benefit",6359
"birds",1035
"praying",205
"saving",2073
"bath",671
"sunny",314
"fancy",474
"eternally",92
"dads",109
"theater",3527
"adore",55
"abroad",4283
"singing",814
"reunion",251
"improving",1718
"terrific",362
"mountains",994
"ocean",1160
"pancakes",38
"gentleman",292
"vanilla",56
"fair",6409
"photograph",765
"photos",777
"autumn",378
"cozy",302
"piano",653
"massage",113
"concert",1146
"outdoor",508
"correctly",1466
"sea",2761
"earns",245
"trusted",810
"gardening",134
"girls",2860
"dear",2101
"college",13457
"earning",849
"cinema",148
"spa",211
"unity",1394
"albums",176
"secure",2824
"wish",3689
"youtube",66
"favour",0
"promote",2941
"learning",3246
"favored",1490
"game",6447
"fitness",399
