word,count
"laughter",3
"happiness",0
"love",8
"happy",7
"laughed",1
"laugh",2
"laughing",0
"laughs",0
"excellent",4
"joy",1
"successful",13
"win",6
"smile",1
"won",14
"rainbow",0
"pleasure",2
"smiled",1
"rainbows",0
"winning",3
"celebration",0
"healthy",3
"enjoyed",0
"music",17
"celebrating",0
"congratulations",0
"weekend",2
"rich",3
"celebrate",0
"jokes",2
"comedy",4
"victory",3
"free",22
"loves",1
"christmas",1
"fun",10
"holidays",0
"friendship",5
"loved",2
"loving",0
"sunshine",0
"kissing",1
"beach",3
"hahaha",0
"friends",22
"butterflies",0
"sweetest",0
"delicious",0
"vacation",1
"paradise",1
"outstanding",7
"funny",1
"beautiful",11
"freedom",7
"sweetheart",0
"great",43
"sunlight",0
"flower",1
"sweetness",0
"success",28
"chocolate",1
"peace",21
"heaven",4
"award",5
"hahahaha",0
"splendid",0
"enjoying",1
"kissed",0
"attraction",1
"sun",1
"hugs",0
"hero",6
"positive",9
"celebrated",1
"delight",1
"blessed",0
"fantastic",1
"winner",2
"birthday",0
"honesty",2
"butterfly",0
"smiles",0
"entertainment",0
"sky",0
"wonderful",7
"beauty",2
"funniest",1
"succeed",3
"kisses",0
"promotion",7
"glorious",1
"gift",7
"romantic",0
"family",33
"humor",3
"cupcakes",0
"hahahahaha",0
"weekends",1
"relax",0
"festival",0
"honour",0
"mother",31
"holiday",2
"lucky",2
"bonus",1
"super",0
"b-day",0
"angel",0
"diamonds",0
"brilliant",0
"enjoy",5
"friendly",0
"profit",2
"mother's",1
"angels",1
"friend",7
"finest",2
"amazing",1
"grandmother",1
"kitten",0
"sweet",0
"champion",0
"miracle",0
"bday",0
"mom",1
"kiss",0
"haha",0
"winners",9
"millionaire",1
"bright",11
"excited",2
"successfully",4
"entertaining",1
"excitement",4
"blessings",0
"cutest",0
"succeeded",1
"joke",5
"prize",7
"shines",0
"genius",2
"awesome",0
"party",8
"puppy",0
"smiling",1
"succeeding",1
"income",5
"song",7
"cake",0
"cheers",0
"victories",1
"tasty",0
"achievement",26
"exciting",3
"goodness",0
"hug",0
"easier",7
"billion",9
"achieved",8
"gifts",3
"gold",14
"cakes",0
"flowers",0
"merry",0
"lovers",0
"families",9
"handsome",0
"affection",0
"roses",1
"candy",0
"diamond",0
"peacefully",0
"earnings",1
"cute",1
"interesting",4
"saturdays",0
"relaxing",0
"praise",3
"faithful",0
"heavens",2
"optimistic",1
"glory",0
"cherish",1
"moonlight",0
"extraordinary",3
"earn",10
"peaceful",1
"romance",1
"hilarious",0
"cupcake",0
"congrats",0
"comfort",3
"feast",0
"glad",0
"x-mas",0
"internet",0
"profits",3
"grandma",0
"smart",3
"pleasant",4
"attractive",2
"loyal",0
"babies",4
"jewels",0
"cheer",2
"honest",1
"wow",1
"opportunities",15
"courage",0
"enthusiasm",7
"triumph",1
"forests",1
"starlight",0
"sing",1
"honey",0
"thankful",0
"sex",131
"fantasy",0
