word,count
"laughter",339
"happiness",345
"love",8508
"happy",6123
"laughed",555
"laugh",932
"laughing",751
"laughs",218
"excellent",2590
"joy",1082
"successful",14637
"win",9499
"smile",1142
"won",15618
"rainbow",656
"pleasure",923
"smiled",288
"rainbows",18
"winning",4996
"celebration",916
"healthy",6237
"enjoyed",2671
"music",25697
"celebrating",640
"congratulations",125
"weekend",8647
"rich",8098
"celebrate",1040
"jokes",770
"comedy",2794
"victory",4592
"free",25822
"loves",931
"christmas",6339
"fun",3869
"holidays",1481
"friendship",742
"loved",1911
"loving",2233
"sunshine",614
"kissing",97
"beach",6927
"hahaha",0
"friends",9837
"butterflies",80
"sweetest",45
"delicious",242
"vacation",3523
"paradise",418
"outstanding",11981
"funny",1230
"beautiful",1905
"freedom",3388
"sweetheart",204
"great",26810
"sunlight",371
"flower",624
"sweetness",94
"success",18676
"chocolate",1422
"peace",2415
"heaven",531
"award",5981
"hahahaha",0
"splendid",141
"enjoying",1245
"kissed",68
"attraction",1194
"sun",9914
"hugs",79
"hero",1020
"positive",10088
"celebrated",1182
"delight",501
"blessed",340
"fantastic",618
"winner",2716
"birthday",1472
"honesty",428
"butterfly",174
"smiles",261
"entertainment",19528
"sky",2268
"wonderful",2153
"beauty",2427
"funniest",103
"succeed",6133
"kisses",85
"promotion",5906
"glorious",218
"gift",3821
"romantic",734
"family",35087
"humor",1942
"cupcakes",20
"hahahahaha",0
"weekends",1214
"relax",955
"festival",1406
"honour",21
"mother",6820
"holiday",8218
"lucky",2251
"bonus",4189
"super",4561
"b-day",0
"angel",660
"diamonds",1157
"brilliant",1378
"enjoy",2740
"friendly",3532
"profit",36655
"mother's",654
"angels",398
"friend",6785
"finest",434
"amazing",1239
"grandmother",1281
"kitten",28
"sweet",1679
"champion",1928
"miracle",697
"bday",0
"mom",910
"kiss",347
"haha",2
"winners",2959
"millionaire",696
"bright",3488
"excited",1431
"successfully",3221
"entertaining",817
"excitement",1321
"blessings",125
"cutest",6
"succeeded",3548
"joke",1056
"prize",2770
"shines",108
"genius",645
"awesome",267
"party",11197
"puppy",146
"smiling",598
"succeeding",3041
"income",69824
"song",2938
"cake",648
"cheers",395
"victories",438
"tasty",197
"achievement",1083
"exciting",1857
"goodness",141
"hug",173
"easier",8931
"billion",205280
"achieved",2959
"gifts",2768
"gold",21119
"cakes",242
"flowers",2316
"merry",257
"lovers",482
"families",7808
"handsome",676
"affection",317
"roses",417
"candy",1588
"diamond",3018
"peacefully",385
"earnings",74186
"cute",368
"interesting",3982
"saturdays",323
"relaxing",428
"praise",1714
"faithful",268
"heavens",79
"optimistic",5709
"glory",660
"cherish",108
"moonlight",67
"extraordinary",17185
"earn",7019
"peaceful",351
"romance",721
"hilarious",165
"cupcake",4
"congrats",2
"comfort",2267
"feast",165
"glad",795
"x-mas",0
"internet",57285
"profits",40727
"grandma",123
"smart",4520
"pleasant",863
"attractive",9144
"loyal",1740
"babies",992
"jewels",299
"cheer",507
"honest",1350
"wow",464
"opportunities",8494
"courage",649
"enthusiasm",2863
"triumph",668
"forests",473
"starlight",27
"sing",654
"honey",472
"thankful",87
"sex",2679
"fantasy",1016
"dreams",1154
"food",27485
"apple",14973
"wins",1538
"miracles",146
"truth",2640
"incredible",1296
"achieve",4482
"adored",528
"mommy",132
"saturday",8589
"grandchildren",4816
"gorgeous",227
"dances",310
"lunch",3238
"cash",48475
"perfect",3496
"parties",6853
"surprise",7374
"blessing",828
"sexy",609
"treasure",491
"dinner",3861
"kindness",185
"thanks",3604
"pleased",3567
"thanksgiving",1614
"thank",1011
"creative",18833
"strength",10740
"valentine",219
"riches",611
"grandfather",1786
"wealth",5110
"sundays",492
"heavenly",88
"hope",13078
"nice",3581
"fabulous",474
"million",428568
"magical",276
"kids",4434
"awarded",6647
"mothers",1296
"daughters",3160
"friend's",263
"parents",8421
"valentine's",243
"generosity",405
"grateful",563
"inspired",2026
"favorable",4639
"dance",2240
"fantasies",229
"cares",510
"melody",167
"intelligent",1213
"wonderland",76
"liberation",234
"satisfaction",1358
"beloved",3243
"homemade",387
"movies",9009
"satisfy",2230
"precious",2372
"inspiring",284
"caring",632
"respect",3431
"wedding",1303
"cuddle",16
"lovely",357
"games",11434
"united",149969
"proud",1753
"championship",519
"life",36962
"comfortable",4265
"accomplished",1537
"adorable",56
"grandson",695
"pretty",9219
"rose",74474
"fruits",879
"hahah",0
"dollars",35637
"generous",2912
"couple",8930
"passion",1593
"golden",3855
"prosperity",1390
"sweetie",12
"valentines",16
"eating",1771
"luxury",6559
"remarkable",2342
"lover",324
"adventure",901
"hooray",23
"money",103700
"intelligence",3335
"fortune",4728
"gently",469
"educated",1384
"helped",24560
