word,count
"laughter",600
"happiness",497
"love",6314
"happy",4762
"laughed",841
"laugh",820
"laughing",661
"laughs",180
"excellent",992
"joy",1231
"successful",5408
"win",11428
"smile",2005
"won",15234
"rainbow",214
"pleasure",843
"smiled",988
"rainbows",18
"winning",3750
"celebration",1962
"healthy",1589
"enjoyed",1856
"music",5875
"celebrating",1059
"congratulations",264
"weekend",10429
"rich",5765
"celebrate",1725
"jokes",601
"comedy",463
"victory",12147
"free",23798
"loves",524
"christmas",3033
"fun",1106
"holidays",787
"friendship",1793
"loved",2132
"loving",1783
"sunshine",437
"kissing",236
"beach",3564
"hahaha",0
"friends",12837
"butterflies",152
"sweetest",19
"delicious",147
"vacation",2147
"paradise",627
"outstanding",1113
"funny",519
"beautiful",2209
"freedom",13158
"sweetheart",107
"great",19796
"sunlight",320
"flower",634
"sweetness",62
"success",8856
"chocolate",576
"peace",59764
"heaven",606
"award",1572
"hahahaha",0
"splendid",267
"enjoying",743
"kissed",298
"attraction",585
"sun",3614
"hugs",141
"hero",2103
"positive",5263
"celebrated",1911
"delight",470
"blessed",544
"fantastic",318
"winner",1700
"birthday",1472
"honesty",418
"butterfly",92
"smiles",521
"entertainment",1105
"sky",1974
"wonderful",1165
"beauty",1530
"funniest",13
"succeed",3709
"kisses",154
"promotion",960
"glorious",406
"gift",1349
"romantic",569
"family",36283
"humor",1086
"cupcakes",4
"hahahahaha",0
"weekends",532
"relax",676
"festival",1912
"honour",5
"mother",11702
"holiday",2639
"lucky",1297
"bonus",260
"super",463
"b-day",0
"angel",571
"diamonds",983
"brilliant",722
"enjoy",1848
"friendly",2654
"profit",1580
"mother's",940
"angels",286
"friend",7862
"finest",482
"amazing",493
"grandmother",1429
"kitten",18
"sweet",923
"champion",1208
"miracle",774
"bday",0
"mom",310
"kiss",501
"haha",0
"winners",684
"millionaire",413
"bright",2069
"excited",649
"successfully",1812
"entertaining",226
"excitement",714
"blessings",240
"cutest",2
"succeeded",3133
"joke",1038
"prize",2980
"shines",63
"genius",290
"awesome",154
"party",113522
"puppy",45
"smiling",1359
"succeeding",504
"income",4321
"song",1821
"cake",421
"cheers",654
"victories",998
"tasty",85
"achievement",1190
"exciting",443
"goodness",154
"hug",211
"easier",3328
"billion",23994
"achieved",3181
"gifts",1057
"gold",4818
"cakes",223
"flowers",2350
"merry",120
"lovers",375
"families",15165
"handsome",557
"affection",528
"roses",360
"candy",488
"diamond",1107
"peacefully",1760
"earnings",871
"cute",116
"interesting",1333
"saturdays",193
"relaxing",331
"praise",2185
"faithful",1154
"heavens",128
"optimistic",2394
"glory",686
"cherish",111
"moonlight",97
"extraordinary",3195
"earn",1981
"peaceful",7053
"romance",454
"hilarious",45
"cupcake",4
"congrats",1
"comfort",1292
"feast",438
"glad",792
"x-mas",1
"internet",3885
"profits",2299
"grandma",58
"smart",815
"pleasant",599
"attractive",1058
"loyal",3809
"babies",1544
"jewels",172
"cheer",427
"honest",1659
"wow",87
"opportunities",2441
"courage",1519
"enthusiasm",2018
"triumph",1583
"forests",1537
"starlight",13
"sing",753
"honey",286
"thankful",144
"sex",3560
"fantasy",432
"dreams",1291
"food",25044
"apple",495
"wins",1322
"miracles",281
"truth",4550
"incredible",541
"achieve",4212
"adored",383
"mommy",90
"saturday",20706
"grandchildren",2646
"gorgeous",139
"dances",316
"lunch",2594
"cash",4867
"perfect",1628
"parties",24763
"surprise",4520
"blessing",1072
"sexy",146
"treasure",489
"dinner",3613
"kindness",253
"thanks",1522
"pleased",2159
"thanksgiving",316
"thank",1739
"creative",817
"strength",5194
"valentine",110
"riches",436
"grandfather",1796
"wealth",3475
"sundays",326
"heavenly",96
"hope",19373
"nice",1853
"fabulous",149
"million",59590
