word,count
"laughter",69
"happiness",64
"love",1726
"happy",617
"laughed",92
"laugh",156
"laughing",87
"laughs",48
"excellent",163
"joy",215
"successful",372
"win",161
"smile",248
"won",481
"rainbow",73
"pleasure",207
"smiled",84
"rainbows",4
"winning",166
"celebration",222
"healthy",216
"enjoyed",139
"music",1048
"celebrating",102
"congratulations",12
"weekend",729
"rich",488
"celebrate",182
"jokes",86
"comedy",125
"victory",72
"free",2380
"loves",165
"christmas",855
"fun",646
"holidays",156
"friendship",94
"loved",342
"loving",182
"sunshine",46
"kissing",25
"beach",667
"hahaha",0
"friends",1766
"butterflies",60
"sweetest",8
"delicious",65
"vacation",239
"paradise",114
"outstanding",62
"funny",245
"beautiful",733
"freedom",157
"sweetheart",19
"great",1984
"sunlight",179
"flower",978
"sweetness",18
"success",498
"chocolate",134
"peace",176
"heaven",120
"award",251
"hahahaha",0
"splendid",81
"enjoying",79
"kissed",15
"attraction",78
"sun",769
"hugs",26
"hero",99
"positive",171
"celebrated",146
"delight",92
"blessed",47
"fantastic",54
"winner",86
"birthday",251
"honesty",32
"butterfly",82
"smiles",64
"entertainment",284
"sky",256
"wonderful",511
"beauty",384
"funniest",4
"succeed",86
"kisses",28
"promotion",59
"glorious",76
"gift",401
"romantic",290
"family",4550
"humor",231
"cupcakes",4
"hahahahaha",0
"weekends",304
"relax",80
"festival",305
"honour",1
"mother",2177
"holiday",452
"lucky",136
"bonus",26
"super",66
"b-day",0
"angel",77
"diamonds",92
"brilliant",139
"enjoy",279
"friendly",145
"profit",61
"mother's",283
"angels",63
"friend",1029
"finest",106
"amazing",89
"grandmother",268
"kitten",28
"sweet",386
"champion",78
"miracle",70
"bday",0
"mom",278
"kiss",63
"haha",0
"winners",136
"millionaire",17
"bright",662
"excited",104
"successfully",80
"entertaining",132
"excitement",94
"blessings",8
"cutest",6
"succeeded",66
"joke",111
"prize",187
"shines",20
"genius",54
"awesome",32
"party",730
"puppy",40
"smiling",86
"succeeding",14
"income",221
"song",186
"cake",148
"cheers",22
"victories",14
"tasty",22
"achievement",59
"exciting",122
"goodness",29
"hug",43
"easier",539
"billion",171
"achieved",126
"gifts",261
"gold",1027
"cakes",40
"flowers",1852
"merry",27
"lovers",107
"families",1280
"handsome",232
"affection",122
"roses",642
"candy",98
"diamond",241
"peacefully",15
"earnings",25
"cute",86
"interesting",334
"saturdays",161
"relaxing",47
"praise",108
"faithful",36
"heavens",19
"optimistic",42
"glory",101
"cherish",29
"moonlight",28
"extraordinary",177
"earn",71
"peaceful",52
"romance",150
"hilarious",24
"cupcake",5
"congrats",0
"comfort",296
"feast",43
"glad",80
"x-mas",0
"internet",149
"profits",55
"grandma",48
"smart",149
"pleasant",160
"attractive",239
"loyal",35
"babies",309
"jewels",59
"cheer",37
"honest",89
"wow",39
"opportunities",121
"courage",67
"enthusiasm",93
"triumph",50
"forests",64
"starlight",2
"sing",124
"honey",79
"thankful",13
"sex",494
"fantasy",354
"dreams",235
"food",1012
"apple",290
"wins",23
"miracles",25
"truth",200
"incredible",88
"achieve",155
"adored",30
"mommy",64
"saturday",3177
"grandchildren",269
"gorgeous",62
"dances",45
"lunch",488
"cash",151
"perfect",565
"parties",318
"surprise",242
"blessing",34
"sexy",90
"treasure",85
"dinner",791
"kindness",21
"thanks",152
"pleased",136
"thanksgiving",136
"thank",133
"creative",336
"strength",194
"valentine",34
"riches",18
"grandfather",174
"wealth",85
"sundays",113
"heavenly",27
"hope",517
"nice",498
"fabulous",77
"million",1485
"magical",89
"kids",1155
"awarded",66
"mothers",468
"daughters",300
"friend's",105
"parents",5324
"valentine's",42
"generosity",25
"grateful",67
"inspired",683
"favorable",12
"dance",339
"fantasies",92
"cares",55
"melody",11
"intelligent",57
"wonderland",24
"liberation",27
"satisfaction",76
"beloved",199
"homemade",89
"movies",409
"satisfy",46
"precious",124
"inspiring",34
"caring",170
"respect",220
"wedding",436
"cuddle",6
"lovely",159
"games",446
"united",1419
"proud",234
"championship",41
"life",3734
"comfortable",602
"accomplished",82
"adorable",17
"grandson",53
"pretty",498
"rose",811
"fruits",112
"hahah",0
"dollars",208
"generous",123
"couple",992
"passion",238
"golden",313
"prosperity",18
"sweetie",1
"valentines",18
"eating",260
"luxury",198
"remarkable",103
"lover",93
"adventure",116
"hooray",1
"money",1555
"intelligence",72
"fortune",118
"gently",272
"educated",68
"helped",499
"books",2018
"moon",165
"great-grandchildren",19
"satisfied",64
"cookies",98
"cherished",67
"bride",93
"god",289
"sunday",2772
