word,count
"laughter",100
"happiness",56
"love",1540
"happy",650
"laughed",104
"laugh",214
"laughing",125
"laughs",70
"excellent",1109
"joy",213
"successful",468
"win",189
"smile",358
"won",485
"rainbow",212
"pleasure",273
"smiled",185
"rainbows",5
"winning",174
"celebration",289
"healthy",506
"enjoyed",231
"music",969
"celebrating",150
"congratulations",20
"weekend",522
"rich",1367
"celebrate",264
"jokes",88
"comedy",130
"victory",61
"free",1236
"loves",169
"christmas",1108
"fun",545
"holidays",236
"friendship",62
"loved",340
"loving",170
"sunshine",45
"kissing",22
"beach",528
"hahaha",0
"friends",1350
"butterflies",8
"sweetest",32
"delicious",827
"vacation",256
"paradise",91
"outstanding",142
"funny",211
"beautiful",437
"freedom",156
"sweetheart",20
"great",2512
"sunlight",39
"flower",172
"sweetness",323
"success",611
"chocolate",2362
"peace",188
"heaven",93
"award",275
"hahahaha",0
"splendid",101
"enjoying",105
"kissed",28
"attraction",86
"sun",388
"hugs",19
"hero",99
"positive",198
"celebrated",219
"delight",151
"blessed",46
"fantastic",51
"winner",195
"birthday",332
"honesty",32
"butterfly",39
"smiles",179
"entertainment",210
"sky",144
"wonderful",581
"beauty",200
"funniest",11
"succeed",81
"kisses",35
"promotion",160
"glorious",118
"gift",588
"romantic",170
"family",2868
"humor",208
"cupcakes",31
"hahahahaha",0
"weekends",164
"relax",85
"festival",478
"honour",0
"mother",1853
"holiday",732
"lucky",195
"bonus",33
"super",150
"b-day",0
"angel",159
"diamonds",47
"brilliant",104
"enjoy",465
"friendly",190
"profit",146
"mother's",288
"angels",44
"friend",1100
"finest",303
"amazing",127
"grandmother",253
"kitten",8
"sweet",2502
"champion",63
"miracle",84
"bday",0
"mom",256
"kiss",92
"haha",0
"winners",161
"millionaire",11
"bright",449
"excited",102
"successfully",99
"entertaining",205
"excitement",112
"blessings",11
"cutest",1
"succeeded",64
"joke",96
"prize",221
"shines",10
"genius",54
"awesome",37
"party",1131
"puppy",31
"smiling",148
"succeeding",18
"income",166
"song",259
"cake",1653
"cheers",16
"victories",7
"tasty",266
"achievement",63
"exciting",148
"goodness",30
"hug",35
"easier",466
"billion",274
"achieved",133
"gifts",270
"gold",674
"cakes",778
"flowers",505
"merry",34
"lovers",273
"families",586
"handsome",227
"affection",55
"roses",140
"candy",490
"diamond",135
"peacefully",10
"earnings",25
"cute",66
"interesting",490
"saturdays",224
"relaxing",48
"praise",114
"faithful",40
"heavens",25
"optimistic",68
"glory",87
"cherish",8
"moonlight",9
"extraordinary",148
"earn",93
"peaceful",27
"romance",153
"hilarious",16
"cupcake",15
"congrats",0
"comfort",191
"feast",239
"glad",73
"x-mas",0
"internet",87
"profits",131
"grandma",47
"smart",158
"pleasant",265
"attractive",401
"loyal",70
"babies",180
"jewels",23
"cheer",52
"honest",127
"wow",41
"opportunities",102
"courage",52
"enthusiasm",157
"triumph",46
"forests",41
"starlight",3
"sing",155
"honey",636
"thankful",15
"sex",380
"fantasy",145
"dreams",136
"food",13840
"apple",1028
"wins",39
"miracles",23
"truth",242
"incredible",83
"achieve",142
"adored",31
"mommy",86
"saturday",1181
"grandchildren",164
"gorgeous",61
"dances",32
"lunch",1990
"cash",201
"perfect",826
"parties",501
"surprise",318
"blessing",54
"sexy",50
"treasure",54
"dinner",3443
"kindness",19
"thanks",253
"pleased",159
"thanksgiving",548
"thank",258
"creative",230
"strength",218
"valentine",26
"riches",19
"grandfather",162
"wealth",67
"sundays",127
"heavenly",24
"hope",498
"nice",746
"fabulous",92
"million",1837
"magical",62
"kids",597
"awarded",129
"mothers",286
"daughters",212
"friend's",69
"parents",1126
"valentine's",126
"generosity",34
"grateful",87
"inspired",281
"favorable",41
"dance",303
"fantasies",51
"cares",54
"melody",35
"intelligent",75
"wonderland",6
"liberation",16
"satisfaction",87
"beloved",179
"homemade",412
"movies",315
"satisfy",113
"precious",95
"inspiring",19
"caring",63
"respect",227
"wedding",439
"cuddle",2
"lovely",257
"games",275
"united",2300
"proud",201
"championship",27
"life",2904
"comfortable",267
"accomplished",73
"adorable",17
"grandson",85
"pretty",558
"rose",777
"fruits",848
"hahah",0
"dollars",214
"generous",208
"couple",1036
"passion",318
"golden",884
"prosperity",31
"sweetie",8
"valentines",10
"eating",2136
"luxury",198
"remarkable",222
"lover",118
"adventure",96
"hooray",3
"money",1733
"intelligence",78
"fortune",175
"gently",608
"educated",81
"helped",450
"books",1631
"moon",191
"great-grandchildren",16
"satisfied",120
"cookies",984
"cherished",53
"bride",95
"god",311
"sunday",1078
"glow",61
"perfectly",262
"luckily",18
"likes",400
"baby",910
"dessert",1038
"employed",60
"independence",99
"juicy",128
"millions",218
"gladly",27
"progress",100
"play",807
"greatest",300
"dreaming",28
"divine",50
"hearts",206
"musicians",83
"savings",70
"championships",14
"luck",141
"foods",3428
"fresh",6203
"passionate",89
"mama",50
"helpful",155
"gardens",151
"computer",428
"liberty",93
"reward",48
"appreciation",107
"bloom",58
"hahahah",0
"book",3047
"promoted",89
"impressed",140
"companion",236
"nature",367
"gentle",168
"warmth",81
"bliss",19
"xmas",0
"pal",24
"child",1338
"kind",1676
"knowledge",226
"health",2220
"relaxed",121
"films",227
"musical",142
"darling",56
"amazed",70
"star",536
"yummy",6
"pets",73
"appreciate",164
"danced",41
"trust",191
"guitar",55
"honor",222
"garden",673
"sweeter",109
"encouraging",85
"graduated",140
"heart",1366
"energy",283
"confidence",119
"like",14762
"salary",54
"brother",470
"approved",188
"wishes",49
"presents",119
"libraries",38
"prizes",101
"luv",2
"ecstasy",18
"comforted",10
"google",0
"cartoon",46
"perfection",57
"ladies",106
"benefits",349
"good",6847
"special",1468
"eternal",31
"discount",182
"cool",1430
"comfy",4
"genuine",122
"leisure",77
"travel",435
"rest",1048
"meal",1648
"helping",253
"fiesta",15
"imagine",249
"best",4159
"awards",253
"respected",100
"alive",228
"promise",167
"bed",366
"coffee",1964
"sunset",113
"granddaughter",41
"attracted",131
"heroes",77
"sleep",247
"skies",27
"spring",1202
"abundant",105
"oceans",27
"ideas",328
"devoted",327
"liked",314
"welcome",269
"favourite",1
"pizza",858
"paid",491
"lovin",0
"home",3967
"adoring",13
"strawberry",287
"summertime",30
"brighter",12
"opportunity",333
"fireworks",23
"honored",71
"1st",0
"children's",387
"parks",122
"journey",116
"playing",371
"shine",59
"cure",110
"wealthy",98
"fruit",2074
"woman's",154
"women",3403
"inspire",37
"valuable",97
"superman",14
"laptop",8
"children",3353
"juice",3096
"partners",281
"son",980
"stronger",105
"appreciated",74
"tree",298
"birth",251
"artistic",57
"resort",112
"fridays",150
"computers",102
"admiration",41
"freely",62
"wise",125
"dream",321
"snack",239
"carnival",38
"yum",17
"quality",1493
"dearest",19
"stars",461
"rabbit",239
"cutie",0
"plants",302
"cookie",406
"toys",103
"useful",312
"glowing",25
"confident",70
"shopping",738
"sincere",24
"improvements",56
"princess",109
"memories",254
"bless",30
"faith",126
"thrill",54
"sparkle",29
"true",810
"comic",78
"earned",141
"desirable",82
"cooking",6765
"equality",22
"dancing",181
"powerful",235
"pet",112
"park",1615
"qualities",110
"graduate",209
"wonder",353
"clever",83
"talent",111
"everlasting",3
"strong",780
"father",1236
"hehehe",0
"pictures",250
"sharing",149
"restaurant",7512
"tenderness",38
"idea",1072
"weddings",96
"talented",62
"sandwich",461
"grand",785
"charm",102
"caress",2
"mamma",12
"pearl",115
"dove",69
"impressive",192
"cherry",275
"safe",460
"girlfriend",60
"eat",2948
"daughter",863
"yoga",98
"favorite",973
"shining",43
"scholarship",79
"loyalty",39
"awsome",0
"sunrise",21
"hoping",165
"relationship",360
"parent",236
"sleeping",114
"productivity",17
"respects",25
"wisdom",112
"fairy",32
"humanity",22
"dollar",223
"goal",238
"daddy",59
"olympics",54
"brave",43
"fans",349
"colours",0
"inspiration",146
"dad",176
"saints",10
"correct",225
"easily",556
"hawaii",94
"honestly",24
"color",1078
"believed",274
"colors",419
"hopes",242
"gentlemen",35
"better",2874
"praised",75
"noble",105
"trip",504
"determination",41
"hello",120
"dad's",22
"girl",576
"discovered",462
"harmony",60
"reliable",116
"trees",366
"lullaby",4
"brothers",417
"concerts",51
"cooperation",43
"giving",553
"agreed",402
"photography",49
"intellectual",74
"trips",153
"encouraged",131
"approval",142
"outdoors",73
"marry",100
"musician",64
"rome",161
"wildlife",39
"goals",86
"thrills",8
"unique",119
"ideal",292
"invitation",81
"plenty",490
"songs",157
"present",414
"elegant",619
"imagination",136
"great-grandfather",19
"safely",50
"benefit",593
"birds",226
"praying",16
"saving",88
"bath",90
"sunny",141
"fancy",373
"eternally",7
"dads",11
"theater",654
"adore",18
"abroad",116
"singing",186
"reunion",63
"improving",85
"terrific",142
"mountains",206
"ocean",239
"pancakes",265
"gentleman",65
"vanilla",680
"fair",429
"photograph",88
"photos",49
"autumn",149
"cozy",81
"piano",112
"massage",67
"concert",123
"outdoor",232
"correctly",57
"sea",840
"earns",19
"trusted",22
"gardening",71
"girls",405
"dear",1650
"college",890
"earning",43
"cinema",41
"spa",106
"unity",17
"albums",29
"secure",67
"wish",269
"youtube",0
"favour",0
"promote",226
"learning",270
"favored",107
