word,count
"laughter",536
"happiness",531
"love",8785
"happy",3325
"laughed",699
"laugh",1174
"laughing",732
"laughs",699
"excellent",1562
"joy",967
"successful",2306
"win",2385
"smile",1508
"won",3377
"rainbow",312
"pleasure",1351
"smiled",538
"rainbows",34
"winning",1186
"celebration",771
"healthy",1221
"enjoyed",1166
"music",9357
"celebrating",392
"congratulations",125
"weekend",2235
"rich",3959
"celebrate",647
"jokes",840
"comedy",1428
"victory",1278
"free",7471
"loves",922
"christmas",2009
"fun",2447
"holidays",622
"friendship",577
"loved",2019
"loving",719
"sunshine",239
"kissing",216
"beach",4437
"hahaha",2
"friends",8239
"butterflies",188
"sweetest",61
"delicious",1036
"vacation",1368
"paradise",607
"outstanding",371
"funny",1702
"beautiful",3178
"freedom",2332
"sweetheart",105
"great",13601
"sunlight",307
"flower",724
"sweetness",269
"success",3602
"chocolate",1823
"peace",2622
"heaven",653
"award",896
"hahahaha",1
"splendid",467
"enjoying",493
"kissed",174
"attraction",668
"sun",2684
"hugs",130
"hero",1125
"positive",1368
"celebrated",930
"delight",617
"blessed",322
"fantastic",343
"winner",618
"birthday",1004
"honesty",294
"butterfly",223
"smiles",616
"entertainment",1746
"sky",1580
"wonderful",1757
"beauty",2245
"funniest",87
"succeed",673
"kisses",140
"promotion",411
"glorious",438
"gift",1434
"romantic",1367
"family",14216
"humor",1202
"cupcakes",27
"hahahahaha",0
"weekends",1210
"relax",437
"festival",2613
"honour",1
"mother",9375
"holiday",1123
"lucky",1175
"bonus",335
"super",612
"b-day",0
"angel",519
"diamonds",217
"brilliant",1112
"enjoy",1681
"friendly",1193
"profit",910
"mother's",1291
"angels",514
"friend",6511
"finest",612
"amazing",729
"grandmother",966
"kitten",46
"sweet",2527
"champion",633
"miracle",584
"bday",0
"mom",1204
"kiss",509
"haha",1
"winners",372
"millionaire",202
"bright",1992
"excited",618
"successfully",602
"entertaining",471
"excitement",582
"blessings",77
"cutest",7
"succeeded",637
"joke",1076
"prize",1033
"shines",82
"genius",767
"awesome",217
"party",7684
"puppy",85
"smiling",756
"succeeding",113
"income",1485
"song",2454
"cake",1592
"cheers",169
"victories",258
