word,count
"laughter",1204
"happiness",618
"love",18505
"happy",9679
"laughed",1525
"laugh",2058
"laughing",1590
"laughs",450
"excellent",2182
"joy",2602
"successful",7602
"win",15520
"smile",3647
"won",24125
"rainbow",1125
"pleasure",1524
"smiled",1754
"rainbows",34
"winning",7145
"celebration",3414
"healthy",2789
"enjoyed",2646
"music",20796
"celebrating",1684
"congratulations",277
"weekend",15672
"rich",6249
"celebrate",2681
"jokes",1437
"comedy",1696
"victory",11324
"free",20756
"loves",1751
"christmas",8147
"fun",4527
"holidays",1826
"friendship",1902
"loved",8012
"loving",9150
"sunshine",792
"kissing",391
"beach",17605
"hahaha",1
"friends",33697
"butterflies",288
"sweetest",110
"delicious",354
"vacation",4368
"paradise",745
"outstanding",2120
"funny",2011
"beautiful",5021
"freedom",6580
"sweetheart",495
"great",29910
"sunlight",611
"flower",1602
"sweetness",157
"success",10111
"chocolate",1200
"peace",10800
"heaven",1309
"award",6746
"hahahaha",1
"splendid",293
"enjoying",1147
"kissed",562
"attraction",1149
"sun",4451
"hugs",425
"hero",2238
"positive",6284
"celebrated",2794
"delight",857
"blessed",1098
"fantastic",565
"winner",3526
"birthday",4869
"honesty",621
"butterfly",359
"smiles",850
"entertainment",6442
"sky",2739
"wonderful",4599
"beauty",3018
"funniest",95
"succeed",3893
"kisses",338
"promotion",2345
"glorious",556
"gift",5647
"romantic",1232
"family",84293
"humor",2763
"cupcakes",71
"hahahahaha",0
"weekends",2971
"relax",902
"festival",4684
"honour",9
"mother",43968
"holiday",7158
"lucky",2725
"bonus",1115
"super",1663
"b-day",0
"angel",1764
"diamonds",2736
"brilliant",1422
"enjoy",2713
"friendly",3106
"profit",3275
"mother's",3674
"angels",1523
"friend",25290
"finest",934
"amazing",1549
"grandmother",6941
"kitten",103
"sweet",2490
"champion",2885
"miracle",1144
"bday",0
"mom",2072
"kiss",1123
"haha",1
"winners",3363
"millionaire",748
"bright",3987
"excited",1832
"successfully",2536
"entertaining",636
"excitement",1406
"blessings",322
"cutest",16
"succeeded",2771
"joke",2000
"prize",3859
"shines",150
"genius",778
"awesome",356
"party",46342
"puppy",268
"smiling",1949
"succeeding",588
"income",16929
"song",3728
"cake",1172
"cheers",872
"victories",1111
"tasty",150
"achievement",2390
"exciting",1475
"goodness",425
"hug",700
"easier",5112
"billion",36785
"achieved",1997
"gifts",4488
"gold",6051
"cakes",359
"flowers",6101
"merry",314
"lovers",885
"families",30349
"handsome",858
"affection",892
"roses",959
"candy",1761
"diamond",7827
"peacefully",1716
"earnings",2035
"cute",595
"interesting",2784
"saturdays",715
"relaxing",435
"praise",2981
"faithful",950
"heavens",196
"optimistic",2584
"glory",978
"cherish",322
"moonlight",164
"extraordinary",3709
"earn",3748
"peaceful",1598
"romance",1020
"hilarious",136
"cupcake",26
"congrats",2
"comfort",2540
"feast",875
"glad",1930
"x-mas",1
"internet",8957
"profits",3858
"grandma",304
"smart",2526
"pleasant",1934
"attractive",2032
"loyal",1948
"babies",3276
"jewels",382
"cheer",721
"honest",2179
"wow",544
"opportunities",3455
"courage",1792
"enthusiasm",1994
"triumph",1104
"forests",746
"starlight",64
"sing",2411
"honey",648
"thankful",415
"sex",11627
"fantasy",1037
"dreams",2386
"food",20302
"apple",2785
"wins",3241
"miracles",314
"truth",4982
"incredible",1355
"achieve",2663
"adored",1949
"mommy",645
"saturday",23247
"grandchildren",9344
"gorgeous",513
"dances",662
"lunch",6084
"cash",12642
"perfect",4220
"parties",9745
"surprise",5111
"blessing",1511
"sexy",514
"treasure",808
"dinner",8425
"kindness",952
"thanks",2737
"pleased",3882
"thanksgiving",2195
"thank",3350
"creative",2983
"strength",4536
"valentine",441
"riches",275
"grandfather",5650
"wealth",2253
"sundays",992
"heavenly",176
"hope",19254
"nice",6997
"fabulous",518
"million",132335
"magical",432
"kids",14474
"awarded",4925
"mothers",4639
"daughters",6938
"friend's",1147
"parents",36284
"valentine's",448
"generosity",1540
"grateful",1715
"inspired",3341
"favorable",1847
"dance",8225
"fantasies",294
"cares",1155
"melody",334
"intelligent",1083
"wonderland",171
"liberation",906
"satisfaction",966
"beloved",12903
"homemade",688
"movies",4190
"satisfy",1316
"precious",1248
"inspiring",549
"caring",2720
"respect",5579
"wedding",3462
"cuddle",33
"lovely",970
"games",8594
"united",75480
"proud",4655
"championship",3468
"life",62515
"comfortable",3967
"accomplished",1919
"adorable",151
"grandson",1881
"pretty",7418
"rose",11918
"fruits",532
"hahah",0
"dollars",16737
"generous",3172
"couple",13759
"passion",2534
"golden",4461
"prosperity",945
"sweetie",61
"valentines",25
"eating",3283
"luxury",3630
"remarkable",2335
"lover",1074
"adventure",993
"hooray",27
"money",87746
"intelligence",5539
"fortune",2678
"gently",1052
"educated",1565
"helped",22221
"books",13878
"moon",1455
"great-grandchildren",1431
"satisfied",2126
"cookies",910
"cherished",4145
"bride",569
"god",8113
"sunday",24639
"glow",604
"perfectly",1564
"luckily",305
"likes",3058
"baby",11372
"dessert",447
"employed",2783
"independence",4087
"juicy",144
"millions",11266
"gladly",259
"progress",7036
"play",22246
"greatest",4231
"dreaming",365
"divine",872
"hearts",5218
"musicians",2396
"savings",7339
"championships",1361
"luck",2234
"foods",1414
"fresh",7808
"passionate",1242
"mama",323
"helpful",1792
"gardens",4015
"computer",15474
"liberty",4360
"reward",2014
"appreciation",925
"bloom",1010
"hahahah",0
"book",18912
"promoted",2611
"impressed",1885
"companion",3113
"nature",7139
"gentle",1584
"warmth",1253
"bliss",284
"xmas",13
"pal",325
"child",32111
"kind",24981
"knowledge",5259
"health",63556
"relaxed",1137
"films",3256
"musical",3534
"darling",388
"amazed",655
"star",7536
"yummy",14
"pets",1104
"appreciate",1666
"danced",876
"trust",8021
"guitar",1003
"honor",6347
"garden",10838
"sweeter",109
"encouraging",2291
"graduated",6754
"heart",22028
"energy",9798
"confidence",4550
"like",158852
"salary",5798
"brother",20891
"approved",17924
"wishes",1590
"presents",1690
"libraries",2020
"prizes",922
"luv",18
"ecstasy",514
"comforted",769
"google",360
"cartoon",814
"perfection",244
"ladies",1043
"benefits",14910
"good",54270
"special",28876
"eternal",487
"discount",2038
"cool",3479
"comfy",50
"genuine",1052
"leisure",1652
"travel",9127
"rest",13804
"meal",1819
"helping",9147
"fiesta",79
"imagine",3547
"best",28925
"awards",4667
"respected",2032
"alive",4532
"promise",5548
"bed",7105
"coffee",5154
"sunset",1827
"granddaughter",1294
"attracted",3390
"heroes",1172
"sleep",4704
"skies",807
"spring",13213
"abundant",375
"oceans",131
"ideas",6559
"devoted",9912
"liked",4295
"welcome",4285
"favourite",0
"pizza",2249
"paid",24446
"lovin",2
"home",88120
"adoring",1040
"strawberry",470
"summertime",333
"brighter",355
"opportunity",10183
"fireworks",1393
"honored",2111
"1st",0
"children's",10749
"parks",10841
"journey",2121
"playing",11473
"shine",561
"cure",1007
"wealthy",3871
"fruit",1781
"woman's",3442
"women",38130
"inspire",731
"valuable",2294
"superman",205
"laptop",806
"children",86231
"juice",1006
"partners",6290
"son",34888
"stronger",2628
"appreciated",1341
"tree",5588
"birth",5303
"artistic",1848
"resort",3288
"fridays",405
"computers",5400
"admiration",558
"freely",927
"wise",1900
"dream",4649
"snack",421
"carnival",751
"yum",44
"quality",9482
"dearest",468
"stars",3870
"rabbit",393
"cutie",21
"plants",7977
"cookie",462
"toys",1933
"useful",1791
"glowing",399
"confident",4021
"shopping",7542
"sincere",1045
"improvements",4185
"princess",1013
"memories",3347
"bless",742
"faith",5212
"thrill",502
"sparkle",142
"true",9061
"comic",1066
"earned",6102
"desirable",739
"cooking",1892
"equality",736
"dancing",2653
"powerful",8947
"pet",1837
"park",59668
"qualities",724
"graduate",10826
"wonder",3790
"clever",554
"talent",2585
"everlasting",87
"strong",16669
"father",39886
"hehehe",0
"pictures",5173
"sharing",2488
"restaurant",16973
"tenderness",98
"idea",18523
"weddings",721
"talented",1186
"sandwich",973
"grand",21433
"charm",1029
"caress",30
"mamma",55
"pearl",1568
"dove",264
"impressive",1387
"cherry",1466
"safe",9256
"girlfriend",3671
"eat",4600
"daughter",24386
"yoga",410
"favorite",5331
"shining",615
"scholarship",2592
"loyalty",1538
"awsome",0
"sunrise",558
"hoping",5936
"relationship",10477
"parent",7000
"sleeping",2969
"productivity",1490
"respects",990
"wisdom",2183
"fairy",376
"humanity",922
"dollar",3765
"goal",8095
"daddy",792
"olympics",1894
"brave",790
"fans",5190
"colours",2
"inspiration",1738
"dad",1526
"saints",494
"correct",3627
"easily",5496
"hawaii",1154
"honestly",664
"color",4636
"believed",17016
"colors",2175
"hopes",8417
"gentlemen",468
"better",31726
"praised",5174
"noble",1186
"trip",10877
"determination",1801
"hello",984
"dad's",125
"girl",16273
"discovered",8559
"harmony",864
"reliable",1462
"trees",6734
"lullaby",36
"brothers",8985
"concerts",1746
"cooperation",3345
"giving",14555
"agreed",27509
"photography",1322
"intellectual",1636
"trips",4384
"encouraged",3525
"approval",10988
"outdoors",898
"marry",1419
"musician",1181
"rome",1844
"wildlife",2557
"goals",4030
"thrills",123
"unique",2421
"ideal",1640
"invitation",1841
"plenty",3161
"songs",2782
"present",11258
"elegant",1704
"imagination",1040
"great-grandfather",515
"safely",1451
"benefit",8447
"birds",3387
"praying",755
"saving",2585
"bath",1756
"sunny",1494
"fancy",1192
"eternally",96
"dads",150
"theater",15664
"adore",105
"abroad",2220
"singing",2516
"reunion",906
"improving",3403
"terrific",980
"mountains",1661
"ocean",5874
"pancakes",175
"gentleman",857
"vanilla",204
"fair",10348
"photograph",2996
"photos",1754
"autumn",748
"cozy",488
"piano",2294
"massage",452
"concert",4430
"outdoor",2142
"correctly",930
"sea",5316
"earns",802
"trusted",1040
"gardening",472
"girls",9493
"dear",8058
"college",44073
"earning",2280
"cinema",490
"spa",620
"unity",1771
"albums",526
"secure",3219
"wish",4519
"youtube",70
"favour",1
"promote",3713
"learning",6840
"favored",3696
"game",19026
"fitness",1459
"prayers",1549
"healing",998
"learned",12014
"dignity",1359
"eternity",209
"necklace",464
"encourage",4488
"jewelry",3282
"worthy",1102
"paintings",2532
"fulfill",1020
"dynamic",893
"stability",1510
"voyage",564
"clean",8606
"infant",2338
"pure",1321
"flavor",584
"silk",1312
"pillow",447
"infants",1153
"breeze",608
"accuracy",1032
"vitamin",298
"saved",3616
"bookstores",431
"taste",2410
"comics",382
"easter",1008
"bunny",390
"survived",14748
"valued",1597
"donated",3296
"female",5035
"moms",230
"photo",2617
"email",49
"shakespeare",1033
"cheese",1448
"farmer",1370
"friday",30097
"education",55345
"dreamed",897
"photographs",4832
"sailing",650
"relationships",2373
"breakfast",3251
"understands",1123
"truly",3052
"improved",4268
"greatly",3009
"dancer",1285
"toast",442
"liking",223
"#music",0
"pasta",464
"recipes",384
"cooperative",2102
"independent",12003
"paris",5280
"guarantee",2863
"platinum",226
"seas",489
"grace",2836
"banana",598
"improvement",4150
"science",14163
"relief",7300
"acceptance",1518
"superstar",190
"live",25252
"daylight",709
"advantage",6067
"woohoo",1
"kid",3985
"discover",1171
"horses",1978
"solution",4320
"forgiveness",353
"sail",540
"popularity",2325
"hopefully",1214
"universe",1121
"accurately",665
"great-grandmother",725
"belonging",898
"toy",1902
"childhood",3187
"rivers",1592
"buddy",701
"swim",1173
"interested",6773
"woman",44641
"movie",9546
"understanding",3825
"lol",8
"cared",1515
"first",146833
"born",17052
"active",7356
"gains",3202
"young",37633
"prevail",811
"babe",366
"new",633810
"surprisingly",1566
"compassion",1328
"singer",3901
"champagne",959
"completed",8668
"dedicated",3820
"significant",11110
"create",14124
"mansion",3091
"heal",671
"believes",5179
"fathers",1340
"experienced",3842
"artists",5471
"qualified",2878
"animal",3902
"shared",5991
"forgiven",363
"horse",3382
"magic",1835
"elevated",1664
"smooth",1289
"air",23629
"santa",2861
"bedroom",4487
"protect",9805
"novels",938
"highest",9325
"cream",2203
"pies",232
"efficient",1946
"naturally",1389
"uncle",3777
"dreamer",80
"manners",465
"together",23465
"amazon",617
"camera",4247
"performers",1402
"effectiveness",1190
"painting",4286
"dogs",4847
"pie",815
"raindrops",50
"finished",5628
"coolest",84
"mom's",106
"visions",860
"pool",6537
"jukebox",169
"glee",255
"esteemed",1310
"wonders",768
"variety",5439
"guaranteed",1682
"creation",3733
"real",30737
"green",19473
"museums",2161
"reading",10698
"coke",460
"sons",8027
"heartbeat",232
"ruby",644
"completion",1499
"worth",11795
"island",61787
"traveling",3874
"medal",1405
"cafe",2418
"share",12520
"pearls",229
"shop",9899
"humans",1388
"supporter",3061
"style",8152
"popcorn",361
"plus",4625
"rhyme",160
"easy",8973
"effective",5952
"savior",260
"married",10075
"sister",16992
"future",20204
"america",17165
"seasons",1485
"top",27495
"oxygen",1257
"intimate",1098
"switzerland",1096
"papa",434
"tenderly",51
"muffin",176
"courtesy",1494
"raise",18424
"prepared",9197
"mankind",141
"surprising",2356
"justice",34367
"donate",1807
"convenient",816
"merit",1745
"wishing",596
"treat",3746
"integrity",3123
"fine",9757
"artist",5329
"lake",6278
"university",64141
"american",57554
"hi",507
"father's",3272
"technology",9531
"guitars",215
"capable",1773
"romeo",306
"plant",15837
"performance",10236
"yes",7642
"complete",8416
"mentor",1423
"shiny",712
"drinks",1383
"sugar",1461
"allright",1
"focused",6475
"desires",338
"wished",1168
"revenue",8914
"shower",1290
"warm",4175
"momma",38
"attract",4374
"orchestra",2358
"car",41297
"knowing",3510
"confirmed",5496
"classy",126
"villages",1289
"niece",1373
"tremendous",3077
"costumes",803
"neat",862
"creating",6839
"spiritual",2278
"finish",3199
"values",4364
"lifelong",1551
"4-bedroom",0
"gallery",3738
"civilization",559
"culture",6934
"plays",4831
"online",5431
"surprised",5780
"bike",1479
"secured",1216
"valid",1578
"hallelujah",67
"doggy",43
"candle",474
"learn",8371
"grandsons",528
"teaches",2125
"bucks",585
"florida",8963
"dog",6685
"agree",9238
"anniversary",3861
"antiques",1016
"mum",75
"treats",684
"productive",956
"marriage",7876
"tv",7401
"cruise",1972
"partner",12308
"believe",25994
"water",31643
"dine",261
"hired",11170
"rockin",0
"grants",5175
"dancers",1564
"brains",488
"invention",360
"grin",547
"virtues",424
"skating",904
"sensation",430
"thanx",0
"pianist",1097
"mercy",1017
"river",18736
"famous",4737
"greater",9918
"potential",13775
"well",56852
"forest",5799
"scotland",679
"ability",8416
"tours",2213
"liberties",3621
"theatre",303
"privilege",1267
"fountain",964
"desire",3694
"grow",5182
"goodmorning",0
"proceed",2263
"palace",1389
"power",35365
"promised",8015
"heritage",1879
"animals",4817
"ace",5374
"novel",3184
"bake",308
"shares",3414
"museum",18215
"living",21573
"landscape",2712
"lyrics",936
"bridegroom",96
"candles",1111
"acceptable",1913
"possibilities",1265
"accurate",1905
"raises",5614
"charms",204
"television",27897
"greet",666
"assets",3769
"aunt",3088
"powers",5745
"approve",5186
"nieces",1584
"dedication",1286
"sculpture",1855
"competent",894
"currency",1178
"eligible",4548
"tour",6669
"motivation",943
"tea",1716
