word,count
"laughter",481
"happiness",349
"love",10765
"happy",1893
"laughed",153
"laugh",801
"laughing",299
"laughs",642
"excellent",1539
"joy",782
"successful",1085
"win",830
"smile",796
"won",1814
"rainbow",184
"pleasure",978
"smiled",59
"rainbows",20
"winning",872
"celebration",1322
"healthy",284
"enjoyed",280
"music",34032
"celebrating",643
"congratulations",16
"weekend",7494
"rich",2083
"celebrate",785
"jokes",1420
"comedy",7214
"victory",472
"free",6740
"loves",913
"christmas",2174
"fun",2330
"holidays",238
"friendship",804
"loved",839
"loving",810
"sunshine",369
"kissing",97
"beach",2861
"hahaha",1
"friends",3135
"butterflies",126
"sweetest",52
"delicious",323
"vacation",588
"paradise",530
"outstanding",280
"funny",3374
"beautiful",2688
"freedom",739
"sweetheart",175
"great",7884
"sunlight",126
"flower",317
"sweetness",365
"success",1470
"chocolate",404
"peace",527
"heaven",611
"award",1372
"hahahaha",0
"splendid",547
"enjoying",224
"kissed",48
"attraction",641
"sun",980
"hugs",42
"hero",1421
"positive",297
"celebrated",650
"delight",560
"blessed",228
"fantastic",238
"winner",1270
"birthday",789
"honesty",215
"butterfly",342
"smiles",219
"entertainment",1863
"sky",775
"wonderful",1786
"beauty",2219
"funniest",327
"succeed",192
"kisses",121
"promotion",124
"glorious",457
"gift",818
"romantic",2876
"family",7363
"humor",2544
"cupcakes",28
"hahahahaha",0
"weekends",571
"relax",180
"festival",8662
"honour",22
"mother",4672
"holiday",1294
"lucky",572
"bonus",129
"super",329
"b-day",0
"angel",769
"diamonds",110
"brilliant",1174
"enjoy",833
"friendly",442
"profit",142
"mother's",437
"angels",535
"friend",2488
"finest",572
"amazing",561
"grandmother",519
"kitten",30
"sweet",2275
"champion",390
"miracle",272
"bday",0
"mom",483
"kiss",645
"haha",1
"winners",362
"millionaire",81
"bright",1454
"excited",218
"successfully",224
"entertaining",1150
"excitement",398
"blessings",38
"cutest",8
"succeeded",131
"joke",849
"prize",826
"shines",224
"genius",682
"awesome",106
"party",2731
"puppy",90
"smiling",251
"succeeding",41
"income",156
"song",3826
"cake",283
"cheers",97
"victories",33
"tasty",129
"achievement",361
"exciting",867
"goodness",124
"hug",67
"easier",363
"billion",195
"achieved",313
"gifts",352
"gold",1127
"cakes",60
"flowers",551
"merry",237
"lovers",1077
"families",850
"handsome",1040
"affection",541
"roses",166
"candy",381
"diamond",390
"peacefully",69
"earnings",22
"cute",651
"interesting",1808
"saturdays",6138
"relaxing",54
"praise",313
"faithful",276
"heavens",68
"optimistic",173
"glory",513
"cherish",83
"moonlight",113
"extraordinary",984
"earn",222
"peaceful",164
"romance",1493
"hilarious",652
"cupcake",24
"congrats",0
"comfort",620
"feast",207
"glad",159
"x-mas",4
"internet",689
"profits",89
"grandma",98
"smart",1456
"pleasant",594
"attractive",890
"loyal",308
"babies",162
"jewels",93
"cheer",238
"honest",426
"wow",188
"opportunities",334
"courage",388
"enthusiasm",376
"triumph",551
"forests",134
"starlight",31
"sing",1648
"honey",235
"thankful",21
"sex",3489
"fantasy",1399
"dreams",1177
"food",1591
"apple",397
"wins",230
"miracles",93
"truth",1050
"incredible",200
"achieve",335
"adored",135
"mommy",66
"saturday",3110
"grandchildren",234
"gorgeous",688
"dances",2099
"lunch",472
"cash",587
"perfect",1639
"parties",462
"surprise",1099
"blessing",214
"sexy",680
"treasure",286
"dinner",1647
"kindness",122
"thanks",939
"pleased",155
"thanksgiving",228
"thank",243
"creative",1057
"strength",653
"valentine",237
"riches",67
"grandfather",379
"wealth",240
"sundays",5350
"heavenly",187
"hope",1701
"nice",1287
"fabulous",311
"million",3913
"magical",494
"kids",1549
"awarded",88
"mothers",280
"daughters",447
"friend's",140
"parents",2915
"valentine's",89
"generosity",182
"grateful",350
"inspired",2353
"favorable",66
"dance",14773
"fantasies",417
"cares",208
"melody",583
"intelligent",611
"wonderland",123
"liberation",149
"satisfaction",124
"beloved",1355
"homemade",191
"movies",5852
"satisfy",113
"precious",222
"inspiring",190
"caring",182
"respect",533
"wedding",976
"cuddle",10
"lovely",1317
"games",858
"united",3836
"proud",525
"championship",200
"life",12997
"comfortable",606
"accomplished",619
"adorable",199
"grandson",112
"pretty",2199
"rose",1904
"fruits",47
"hahah",0
"dollars",392
"generous",452
"couple",2652
"passion",1558
"golden",1235
"prosperity",43
"sweetie",32
"valentines",16
"eating",313
"luxury",406
"remarkable",931
"lover",949
"adventure",785
"hooray",8
"money",2496
"intelligence",910
"fortune",438
"gently",546
"educated",91
"helped",1250
"books",1278
"moon",668
"great-grandchildren",32
"satisfied",112
"cookies",82
"cherished",247
"bride",292
"god",1235
"sunday",23201
"glow",309
"perfectly",993
"luckily",144
"likes",845
"baby",1427
"dessert",115
"employed",113
"independence",405
"juicy",150
"millions",301
"gladly",26
"progress",455
"play",14828
"greatest",965
"dreaming",144
"divine",477
"hearts",465
"musicians",3662
"savings",56
"championships",93
"luck",473
"foods",75
"fresh",1698
"passionate",595
"mama",426
"helpful",138
"gardens",458
"computer",858
"liberty",306
"reward",139
"appreciation",202
"bloom",352
"hahahah",0
"book",4267
"promoted",118
"impressed",155
"companion",343
"nature",1594
"gentle",894
"warmth",506
"bliss",167
"xmas",13
"pal",253
"child",2286
"kind",5455
"knowledge",482
"health",530
"relaxed",401
"films",8063
"musical",9750
"darling",143
"amazed",94
"star",5346
"yummy",15
"pets",86
"appreciate",391
"danced",782
"trust",435
"guitar",3093
"honor",677
"garden",2085
"sweeter",93
"encouraging",159
"graduated",120
"heart",3114
"energy",1840
"confidence",507
"like",33349
"salary",52
"brother",1913
"approved",106
"wishes",182
"presents",2155
"libraries",43
"prizes",142
"luv",2
"ecstasy",147
"comforted",56
"google",17
"cartoon",858
"perfection",215
"ladies",442
"benefits",245
"good",9887
"special",2907
"eternal",307
"discount",128
"cool",1570
"comfy",49
"genuine",524
"leisure",115
"travel",969
"rest",1740
"meal",285
"helping",336
"fiesta",45
"imagine",1076
"best",10670
"awards",1202
"respected",177
"alive",989
"promise",636
"bed",897
"coffee",658
"sunset",296
"granddaughter",81
"attracted",443
"heroes",541
"sleep",506
"skies",142
"spring",2075
"abundant",141
"oceans",32
"ideas",1500
"devoted",1724
"liked",401
"welcome",883
"favourite",4
"pizza",159
"paid",721
"lovin",0
"home",7629
"adoring",172
"strawberry",43
"summertime",90
"brighter",81
"opportunity",803
"fireworks",236
"honored",142
"1st",0
"children's",1392
"parks",596
"journey",1107
"playing",7125
"shine",258
"cure",182
"wealthy",502
"fruit",227
"woman's",393
"women",5414
"inspire",205
"valuable",312
"superman",109
"laptop",100
"children",7198
"juice",163
"partners",445
"son",3479
"stronger",260
"appreciated",166
"tree",769
"birth",569
"artistic",2174
"resort",1080
"fridays",5164
"computers",194
"admiration",155
"freely",172
"wise",507
"dream",1786
"snack",78
"carnival",413
"yum",12
"quality",1271
"dearest",41
"stars",4257
"rabbit",229
"cutie",30
"plants",258
"cookie",115
"toys",355
"useful",237
"glowing",243
"confident",380
"shopping",491
"sincere",302
"improvements",57
"princess",556
"memories",778
"bless",71
"faith",1015
"thrill",390
"sparkle",102
"true",2879
"comic",3407
"earned",541
"desirable",78
"cooking",275
"equality",67
"dancing",2292
"powerful",1414
"pet",281
"park",7658
"qualities",467
"graduate",504
"wonder",1211
"clever",869
"talent",1299
"everlasting",30
"strong",3096
"father",4437
"hehehe",0
"pictures",2688
"sharing",601
"restaurant",1443
"tenderness",292
"idea",2675
"weddings",103
"talented",876
"sandwich",162
"grand",2065
"charm",1339
"caress",10
"mamma",218
"pearl",526
"dove",97
"impressive",1371
"cherry",543
"safe",534
"girlfriend",822
"eat",532
"daughter",2907
"yoga",216
"favorite",1719
"shining",208
"scholarship",149
"loyalty",265
"awsome",0
"sunrise",86
"hoping",447
"relationship",1861
"parent",1455
"sleeping",422
"productivity",8
"respects",132
"wisdom",516
"fairy",669
"humanity",455
"dollar",189
"goal",393
"daddy",228
"olympics",111
"brave",370
"fans",2069
"colours",0
"inspiration",541
"dad",568
"saints",114
"correct",163
"easily",1176
"hawaii",173
"honestly",73
"color",1607
"believed",272
"colors",911
"hopes",708
"gentlemen",102
"better",4402
"praised",180
"noble",437
"trip",1535
"determination",305
"hello",147
"dad's",58
"girl",2728
"discovered",608
"harmony",628
"reliable",185
"trees",749
"lullaby",93
"brothers",2185
"concerts",3210
"cooperation",64
"giving",1250
