word,count
"laughter",961
"happiness",331
"love",9920
"happy",5395
"laughed",1105
"laugh",1187
"laughing",869
"laughs",278
"excellent",1756
"joy",1384
"successful",7459
"win",16983
"smile",2039
"won",20118
"rainbow",650
"pleasure",1001
"smiled",947
"rainbows",38
"winning",6352
"celebration",2150
"healthy",4170
"enjoyed",2115
"music",8107
"celebrating",986
"congratulations",215
"weekend",10576
"rich",6135
"celebrate",1485
"jokes",1225
"comedy",826
"victory",11681
"free",19567
"loves",1071
"christmas",4210
"fun",2720
"holidays",870
"friendship",1522
"loved",3478
"loving",3142
"sunshine",547
"kissing",343
"beach",10858
"hahaha",0
"friends",20664
"butterflies",156
"sweetest",43
"delicious",202
"vacation",2900
"paradise",485
"outstanding",1486
"funny",946
"beautiful",2069
"freedom",7960
"sweetheart",270
"great",24847
"sunlight",615
"flower",604
"sweetness",89
"success",9615
"chocolate",657
"peace",7079
"heaven",806
"award",4615
"hahahaha",0
"splendid",245
"enjoying",795
"kissed",466
"attraction",945
"sun",4677
"hugs",271
"hero",1923
"positive",6424
"celebrated",1697
"delight",561
"blessed",648
"fantastic",384
"winner",2820
"birthday",2324
"honesty",693
"butterfly",268
"smiles",432
"entertainment",3055
"sky",2311
"wonderful",2447
"beauty",1658
"funniest",63
"succeed",3773
"kisses",142
"promotion",2046
"glorious",256
"gift",3089
"romantic",609
"family",53032
"humor",1966
"cupcakes",30
"hahahahaha",0
"weekends",1259
"relax",805
"festival",1460
"honour",0
"mother",20305
"holiday",3099
"lucky",1552
"bonus",866
"super",2182
"b-day",0
"angel",591
"diamonds",260
"brilliant",1033
"enjoy",2143
"friendly",2324
"profit",2543
"mother's",1864
"angels",605
"friend",15361
"finest",576
"amazing",1200
"grandmother",2360
"kitten",45
"sweet",1302
"champion",1661
"miracle",755
"bday",0
"mom",1309
"kiss",565
"haha",1
"winners",1482
"millionaire",676
"bright",2793
"excited",1393
"successfully",2722
"entertaining",394
"excitement",1084
"blessings",282
"cutest",14
"succeeded",2606
"joke",1539
"prize",2948
"shines",114
"genius",483
"awesome",361
"party",53022
"puppy",141
"smiling",1230
"succeeding",549
"income",15082
"song",1974
"cake",547
"cheers",903
"victories",1671
"tasty",76
"achievement",2494
"exciting",1371
"goodness",340
"hug",511
"easier",5270
"billion",48384
"achieved",2364
"gifts",4106
"gold",3499
"cakes",204
"flowers",2572
"merry",148
"lovers",411
"families",23732
"handsome",524
"affection",636
"roses",425
"candy",816
"diamond",951
"peacefully",644
"earnings",1860
"cute",250
"interesting",2500
"saturdays",276
"relaxing",367
"praise",2803
"faithful",1293
"heavens",227
"optimistic",2787
"glory",690
"cherish",207
"moonlight",87
"extraordinary",3746
"earn",3121
"peaceful",1273
"romance",491
"hilarious",60
"cupcake",6
"congrats",3
"comfort",1798
"feast",317
"glad",1706
"x-mas",0
"internet",8327
"profits",4123
"grandma",158
"smart",2273
"pleasant",997
"attractive",1693
"loyal",1770
"babies",4041
"jewels",172
"cheer",516
"honest",2335
"wow",241
"opportunities",3840
"courage",1823
"enthusiasm",2085
"triumph",1134
"forests",2378
"starlight",70
"sing",765
"honey",449
"thankful",262
"sex",10942
"fantasy",711
"dreams",1410
"food",20172
"apple",1435
"wins",1691
"miracles",272
"truth",6905
"incredible",1135
"achieve",3470
"adored",612
"mommy",206
"saturday",16011
"grandchildren",5865
"gorgeous",166
"dances",324
"lunch",4350
"cash",7052
"perfect",3212
"parties",14497
"surprise",4748
"blessing",1030
"sexy",178
"treasure",725
"dinner",6058
"kindness",379
"thanks",1797
"pleased",3481
"thanksgiving",1360
"thank",3050
"creative",1840
"strength",5369
"valentine",212
"riches",237
"grandfather",2390
"wealth",2213
"sundays",443
"heavenly",108
"hope",18204
"nice",3240
"fabulous",271
"million",95907
"magical",228
"kids",8548
"awarded",3641
"mothers",4451
"daughters",4607
"friend's",464
"parents",23838
"valentine's",191
"generosity",600
"grateful",1246
"inspired",2068
"favorable",2614
"dance",2386
"fantasies",250
"cares",861
"melody",118
"intelligent",1282
"wonderland",110
"liberation",771
"satisfaction",1024
"beloved",4223
"homemade",516
"movies",2361
"satisfy",1449
"precious",958
"inspiring",395
"caring",1622
"respect",6539
"wedding",1513
"cuddle",18
"lovely",348
"games",4514
"united",94975
"proud",3933
"championship",640
"life",48693
"comfortable",3684
"accomplished",1863
"adorable",44
"grandson",1003
"pretty",7427
"rose",8870
"fruits",878
"hahah",0
"dollars",13657
"generous",2243
"couple",9026
"passion",1906
"golden",2291
"prosperity",1812
"sweetie",34
"valentines",16
"eating",2854
"luxury",1386
"remarkable",2131
"lover",462
"adventure",593
"hooray",18
"money",77418
"intelligence",21671
"fortune",2228
"gently",744
"educated",1575
"helped",19600
"books",9658
"moon",2355
"great-grandchildren",977
"satisfied",2324
"cookies",562
"cherished",1518
"bride",254
"god",8747
"sunday",16690
"glow",427
"perfectly",1404
"luckily",102
"likes",2286
"baby",6953
"dessert",260
"employed",2455
"independence",3199
"juicy",109
"millions",11115
"gladly",160
"progress",7868
"play",11819
"greatest",4185
"dreaming",219
"divine",604
"hearts",2032
"musicians",844
"savings",8657
"championships",211
"luck",1308
"foods",2558
"fresh",4396
"passionate",1038
"mama",245
"helpful",1914
"gardens",934
"computer",15695
"liberty",2739
"reward",1544
"appreciation",738
"bloom",630
"hahahah",0
"book",17468
"promoted",2336
"impressed",1735
"companion",1322
"nature",8610
"gentle",1031
"warmth",540
"bliss",273
"xmas",3
"pal",148
"child",22623
"kind",24892
"knowledge",6490
"health",83583
"relaxed",1179
"films",1835
"musical",1322
"darling",309
"amazed",549
"star",6901
"yummy",7
"pets",622
"appreciate",1410
"danced",389
"trust",9341
"guitar",468
"honor",5293
"garden",3182
"sweeter",74
