word,count
"laughter",953
"happiness",703
"love",20462
"happy",8458
"laughed",1049
"laugh",2012
"laughing",1170
"laughs",595
"excellent",8059
"joy",2724
"successful",7149
"win",4781
"smile",2669
"won",10192
"rainbow",1070
"pleasure",2544
"smiled",1016
"rainbows",105
"winning",3746
"celebration",4778
"healthy",3060
"enjoyed",2849
"music",58129
"celebrating",2450
"congratulations",206
"weekend",10088
"rich",8884
"celebrate",2704
"jokes",1108
"comedy",5433
"victory",2655
"free",41633
"loves",2234
"christmas",10645
"fun",7907
"holidays",2169
"friendship",1259
"loved",4677
"loving",2161
"sunshine",875
"kissing",304
"beach",20085
"hahaha",1
"friends",19917
"butterflies",983
"sweetest",129
"delicious",3833
"vacation",3252
"paradise",1153
"outstanding",2200
"funny",2752
"beautiful",7934
"freedom",3177
"sweetheart",242
"great",31948
"sunlight",1272
"flower",5722
"sweetness",750
"success",8619
"chocolate",9669
"peace",3512
"heaven",1336
"award",4546
"hahahaha",0
"splendid",1430
"enjoying",1339
"kissed",267
"attraction",1736
"sun",6534
"hugs",265
"hero",1450
"positive",4369
"celebrated",2334
"delight",1777
"blessed",854
"fantastic",759
"winner",3209
"birthday",3621
"honesty",382
"butterfly",1335
"smiles",839
"entertainment",5916
"sky",3975
"wonderful",6834
"beauty",5115
"funniest",117
"succeed",1560
"kisses",253
"promotion",975
"glorious",1283
"gift",4605
"romantic",2791
"family",43217
"humor",2699
"cupcakes",95
"hahahahaha",0
"weekends",5273
"relax",982
"festival",15802
"honour",5
"mother",20472
"holiday",7399
"lucky",2665
"bonus",811
"super",1720
"b-day",0
"angel",1372
"diamonds",461
"brilliant",1667
"enjoy",5221
"friendly",3875
"profit",2123
"mother's",2454
"angels",1287
"friend",10892
"finest",1214
"amazing",2298
"grandmother",2426
"kitten",154
"sweet",10782
"champion",1809
"miracle",900
"bday",0
"mom",2882
"kiss",1014
"haha",11
"winners",2150
"millionaire",298
"bright",6349
"excited",1789
"successfully",1725
"entertaining",1096
"excitement",1563
"blessings",181
"cutest",24
"succeeded",971
"joke",1413
"prize",2943
"shines",287
"genius",791
"awesome",444
"party",17266
"puppy",479
"smiling",1504
"succeeding",298
"income",6597
"song",6089
"cake",7576
"cheers",461
"victories",506
"tasty",3034
"achievement",1542
"exciting",2754
"goodness",375
"hug",449
"easier",5244
"billion",6969
"achieved",1537
"gifts",2409
"gold",6358
"cakes",2646
"flowers",12608
"merry",502
"lovers",2266
"families",15030
"handsome",2760
"affection",716
"roses",2414
"candy",2051
"diamond",1458
"peacefully",354
"earnings",1132
"cute",819
"interesting",5545
"saturdays",21930
"relaxing",592
"praise",1554
"faithful",688
"heavens",207
"optimistic",1359
"glory",1641
"cherish",306
"moonlight",309
"extraordinary",3982
"earn",2187
"peaceful",798
