word,count
"laughter",153
"happiness",148
"love",1450
"happy",657
"laughed",68
"laugh",179
"laughing",102
"laughs",50
"excellent",392
"joy",215
"successful",1257
"win",399
"smile",209
"won",629
"rainbow",123
"pleasure",261
"smiled",44
"rainbows",23
"winning",238
"celebration",84
"healthy",1820
"enjoyed",163
"music",1141
"celebrating",48
"congratulations",13
"weekend",282
"rich",1055
"celebrate",93
"jokes",99
"comedy",70
"victory",129
"free",1840
"loves",117
"christmas",263
"fun",518
"holidays",83
"friendship",115
"loved",505
"loving",831
"sunshine",64
"kissing",36
"beach",936
"hahaha",0
"friends",1417
"butterflies",382
"sweetest",10
"delicious",46
"vacation",197
"paradise",69
"outstanding",178
"funny",172
"beautiful",549
"freedom",256
"sweetheart",10
"great",4814
"sunlight",710
"flower",319
"sweetness",43
"success",1605
"chocolate",304
"peace",266
"heaven",90
"award",279
"hahahaha",0
"splendid",32
"enjoying",80
"kissed",10
"attraction",201
"sun",2319
"hugs",14
"hero",121
"positive",926
"celebrated",173
"delight",87
"blessed",57
"fantastic",124
"winner",183
"birthday",177
"honesty",52
"butterfly",280
"smiles",52
"entertainment",195
"sky",1035
"wonderful",458
"beauty",371
"funniest",5
"succeed",276
"kisses",13
"promotion",104
"glorious",43
"gift",273
"romantic",231
"family",4738
"humor",280
"cupcakes",1
"hahahahaha",0
"weekends",84
"relax",149
"festival",63
"honour",2
"mother",2432
"holiday",115
"lucky",302
"bonus",59
"super",205
"b-day",0
"angel",70
"diamonds",215
"brilliant",283
"enjoy",312
"friendly",214
"profit",166
"mother's",328
"angels",44
"friend",1130
"finest",60
"amazing",284
"grandmother",546
"kitten",19
"sweet",302
"champion",170
"miracle",143
"bday",0
"mom",155
"kiss",49
"haha",1
"winners",156
"millionaire",12
"bright",788
"excited",292
"successfully",508
"entertaining",73
"excitement",277
"blessings",15
"cutest",2
"succeeded",331
"joke",163
"prize",803
"shines",44
"genius",139
"awesome",61
"party",400
"puppy",19
"smiling",64
"succeeding",64
"income",346
"song",349
"cake",153
"cheers",22
"victories",26
"tasty",64
"achievement",352
"exciting",569
"goodness",38
"hug",31
"easier",1081
"billion",2728
"achieved",497
"gifts",168
"gold",826
"cakes",31
"flowers",814
"merry",16
"lovers",126
"families",1600
"handsome",125
"affection",71
"roses",51
"candy",117
"diamond",451
"peacefully",117
"earnings",30
"cute",125
"interesting",1031
"saturdays",14
"relaxing",61
"praise",118
"faithful",70
"heavens",173
"optimistic",299
"glory",107
"cherish",28
"moonlight",31
"extraordinary",464
"earn",145
"peaceful",116
"romance",96
"hilarious",14
"cupcake",1
"congrats",0
"comfort",259
"feast",74
"glad",90
"x-mas",0
"internet",1288
"profits",144
"grandma",46
"smart",368
"pleasant",136
"attractive",442
"loyal",75
"babies",1351
"jewels",33
"cheer",32
"honest",166
"wow",54
"opportunities",300
"courage",119
"enthusiasm",263
"triumph",144
"forests",1321
"starlight",63
"sing",163
"honey",141
"thankful",19
"sex",1875
"fantasy",187
"dreams",362
"food",4879
"apple",1086
"wins",78
"miracles",39
"truth",513
"incredible",203
"achieve",500
"adored",167
"mommy",20
"saturday",521
"grandchildren",523
"gorgeous",37
"dances",41
"lunch",270
"cash",236
"perfect",732
"parties",174
"surprise",757
"blessing",93
"sexy",56
"treasure",168
"dinner",325
"kindness",58
"thanks",278
"pleased",149
"thanksgiving",49
"thank",121
"creative",343
"strength",847
"valentine",15
"riches",61
"grandfather",446
"wealth",298
"sundays",19
"heavenly",39
"hope",2528
"nice",512
"fabulous",33
"million",7503
"magical",94
"kids",686
"awarded",223
"mothers",832
"daughters",339
"friend's",45
"parents",2721
"valentine's",18
"generosity",84
"grateful",120
"inspired",403
"favorable",175
"dance",303
"fantasies",142
"cares",74
"melody",49
"intelligent",393
"wonderland",25
"liberation",21
"satisfaction",182
"beloved",1255
"homemade",31
"movies",311
"satisfy",86
"precious",208
"inspiring",52
"caring",318
"respect",371
"wedding",94
"cuddle",7
"lovely",60
"games",808
"united",6690
"proud",172
"championship",46
"life",9277
"comfortable",408
"accomplished",209
"adorable",14
"grandson",49
"pretty",1020
"rose",711
"fruits",487
"hahah",0
"dollars",804
"generous",162
"couple",1056
"passion",215
"golden",403
"prosperity",47
"sweetie",4
"valentines",0
"eating",1410
"luxury",125
"remarkable",552
"lover",93
"adventure",231
"hooray",6
"money",2611
"intelligence",865
"fortune",116
"gently",161
"educated",169
"helped",1419
"books",1516
"moon",1586
"great-grandchildren",60
"satisfied",161
"cookies",70
"cherished",378
"bride",17
"god",640
"sunday",544
"glow",233
"perfectly",442
"luckily",75
"likes",178
"baby",1270
"dessert",49
"employed",141
"independence",135
"juicy",19
"millions",1523
"gladly",19
"progress",1182
"play",2089
"greatest",779
"dreaming",120
"divine",81
"hearts",519
"musicians",146
"savings",202
"championships",18
"luck",264
"foods",1303
"fresh",770
"passionate",93
"mama",18
"helpful",432
"gardens",200
"computer",8872
"liberty",60
"reward",178
"appreciation",115
"bloom",160
"hahahah",0
"book",3375
"promoted",137
"impressed",210
"companion",278
"nature",4715
"gentle",180
"warmth",209
"bliss",23
"xmas",1
"pal",15
"child",2666
"kind",3778
"knowledge",1419
"health",9665
"relaxed",120
"films",251
"musical",386
"darling",28
"amazed",104
"star",1728
"yummy",0
"pets",245
"appreciate",194
"danced",33
"trust",402
"guitar",63
"honor",208
"garden",462
"sweeter",21
"encouraging",354
"graduated",167
"heart",6222
"energy",4306
"confidence",385
"like",24676
"salary",90
"brother",771
"approved",750
"wishes",135
"presents",185
"libraries",100
"prizes",211
"luv",2
"ecstasy",65
"comforted",95
"google",30
"cartoon",101
"perfection",48
"ladies",40
"benefits",1461
"good",6371
"special",2106
"eternal",91
"discount",102
"cool",624
"comfy",3
"genuine",139
"leisure",56
"travel",1101
"rest",1688
"meal",399
"helping",752
"fiesta",2
"imagine",642
"best",3965
"awards",172
"respected",181
"alive",746
"promise",625
"bed",560
"coffee",388
"sunset",92
"granddaughter",25
"attracted",321
"heroes",98
"sleep",2070
"skies",123
"spring",1338
"abundant",386
"oceans",588
"ideas",1300
"devoted",1094
"liked",183
"welcome",216
"favourite",0
"pizza",79
"paid",707
"lovin",0
"home",4180
"adoring",75
"strawberry",31
"summertime",38
"brighter",169
"opportunity",742
"fireworks",76
"honored",304
"1st",0
"children's",714
"parks",406
"journey",277
"playing",752
"shine",96
"cure",720
"wealthy",123
"fruit",909
"woman's",490
"women",9175
"inspire",105
"valuable",591
"superman",12
"laptop",228
"children",7792
"juice",287
"partners",593
"son",973
"stronger",511
"appreciated",131
"tree",1525
"birth",1815
"artistic",129
"resort",180
"fridays",4
"computers",3867
"admiration",60
"freely",204
"wise",211
"dream",505
"snack",53
"carnival",12
"yum",0
"quality",1352
"dearest",34
"stars",2175
"rabbit",95
"cutie",1
"plants",3543
"cookie",43
"toys",198
"useful",1523
"glowing",120
"confident",313
"shopping",298
"sincere",100
"improvements",384
"princess",36
"memories",647
"bless",16
"faith",305
"thrill",90
"sparkle",13
"true",1920
"comic",63
"earned",216
"desirable",201
"cooking",271
"equality",38
"dancing",143
"powerful",2164
"pet",386
"park",1903
"qualities",199
"graduate",961
"wonder",580
"clever",271
"talent",199
"everlasting",9
"strong",2220
"father",1582
"hehehe",0
"pictures",997
"sharing",247
"restaurant",180
"tenderness",24
"idea",3530
"weddings",20
"talented",64
"sandwich",91
"grand",563
"charm",92
"caress",2
"mamma",1
"pearl",84
"dove",29
"impressive",363
"cherry",39
"safe",1155
"girlfriend",67
"eat",1862
"daughter",829
"yoga",115
"favorite",466
"shining",102
"scholarship",104
"loyalty",57
"awsome",0
"sunrise",69
"hoping",404
"relationship",1109
"parent",645
"sleeping",353
"productivity",248
"respects",101
"wisdom",380
"fairy",38
"humanity",202
"dollar",150
"goal",1366
"daddy",27
"olympics",51
"brave",71
"fans",205
"colours",3
"inspiration",171
"dad",110
"saints",24
"correct",939
"easily",1534
"hawaii",576
"honestly",50
"color",1779
"believed",1941
"colors",732
"hopes",747
"gentlemen",20
"better",5460
"praised",181
"noble",144
"trip",626
"determination",105
"hello",41
"dad's",10
"girl",413
"discovered",3541
"harmony",74
"reliable",477
"trees",2248
"lullaby",1
"brothers",303
"concerts",38
"cooperation",331
"giving",1246
"agreed",1054
"photography",146
"intellectual",400
"trips",219
"encouraged",393
"approval",526
"outdoors",115
"marry",103
"musician",67
"rome",174
"wildlife",1914
"goals",449
"thrills",17
"unique",708
"ideal",563
"invitation",53
"plenty",433
"songs",305
"present",1769
"elegant",214
"imagination",223
"great-grandfather",35
"safely",346
"benefit",1221
"birds",3420
"praying",27
"saving",385
"bath",96
"sunny",111
"fancy",145
"eternally",24
"dads",12
"theater",189
"adore",10
