word,count
"laughter",59
"happiness",79
"love",2277
"happy",445
"laughed",70
"laugh",181
"laughing",128
"laughs",53
"excellent",173
"joy",504
"successful",263
"win",165
"smile",190
"won",727
"rainbow",268
"pleasure",124
"smiled",72
"rainbows",3
"winning",130
"celebration",295
"healthy",69
"enjoyed",172
"music",4774
"celebrating",117
"congratulations",8
"weekend",620
"rich",429
"celebrate",265
"jokes",100
"comedy",499
"victory",143
"free",1040
"loves",251
"christmas",665
"fun",399
"holidays",108
"friendship",170
"loved",308
"loving",174
"sunshine",89
"kissing",27
"beach",4672
"hahaha",0
"friends",2461
"butterflies",54
"sweetest",13
"delicious",61
"vacation",299
"paradise",146
"outstanding",70
"funny",316
"beautiful",559
"freedom",199
"sweetheart",28
"great",3103
"sunlight",42
"flower",270
"sweetness",21
"success",439
"chocolate",129
"peace",957
"heaven",84
"award",517
"hahahaha",0
"splendid",71
"enjoying",61
"kissed",105
"attraction",140
"sun",566
"hugs",16
"hero",123
"positive",136
"celebrated",221
"delight",76
"blessed",132
"fantastic",34
"winner",108
"birthday",311
"honesty",38
"butterfly",76
"smiles",51
"entertainment",1152
"sky",197
"wonderful",297
"beauty",514
"funniest",22
"succeed",38
"kisses",17
"promotion",352
"glorious",58
"gift",410
"romantic",387
"family",3430
"humor",301
"cupcakes",5
"hahahahaha",0
"weekends",238
"relax",32
"festival",870
"honour",0
"mother",39197
"holiday",310
"lucky",130
"bonus",18
"super",91
"b-day",0
"angel",218
"diamonds",75
"brilliant",145
"enjoy",167
"friendly",172
"profit",52
"mother's",207
"angels",135
"friend",1977
"finest",101
"amazing",137
"grandmother",325
"kitten",2
"sweet",488
"champion",163
"miracle",54
"bday",0
"mom",146
"kiss",231
"haha",1
"winners",89
"millionaire",12
"bright",293
"excited",83
"successfully",42
"entertaining",62
"excitement",64
"blessings",20
"cutest",8
"succeeded",59
"joke",103
"prize",288
"shines",10
"genius",75
"awesome",30
"party",2447
"puppy",14
"smiling",62
"succeeding",12
"income",165
"song",526
"cake",168
"cheers",29
"victories",22
"tasty",30
"achievement",113
"exciting",80
"goodness",23
"hug",40
"easier",146
"billion",77
"achieved",71
"gifts",194
"gold",825
"cakes",56
"flowers",448
"merry",30
"lovers",110
"families",597
"handsome",162
"affection",44
"roses",193
"candy",129
"diamond",584
"peacefully",16
"earnings",10
"cute",174
"interesting",272
"saturdays",60
"relaxing",22
"praise",60
"faithful",28
"heavens",10
"optimistic",28
"glory",59
"cherish",11
"moonlight",27
"extraordinary",97
"earn",42
"peaceful",48
"romance",403
"hilarious",34
"cupcake",3
"congrats",0
"comfort",150
"feast",73
"glad",59
"x-mas",0
"internet",686
"profits",29
"grandma",15
"smart",230
"pleasant",269
"attractive",169
"loyal",36
"babies",121
"jewels",30
"cheer",39
"honest",72
"wow",76
"opportunities",116
"courage",102
"enthusiasm",82
"triumph",75
"forests",66
"starlight",46
"sing",233
"honey",77
"thankful",8
"sex",283
"fantasy",130
"dreams",142
"food",1569
"apple",241
"wins",69
"miracles",14
"truth",173
"incredible",81
"achieve",52
"adored",40
"mommy",10
"saturday",697
"grandchildren",111
"gorgeous",76
"dances",156
"lunch",562
"cash",223
"perfect",461
"parties",317
"surprise",233
"blessing",57
"sexy",69
"treasure",68
"dinner",3623
"kindness",32
"thanks",114
"pleased",50
"thanksgiving",129
"thank",96
"creative",851
"strength",96
"valentine",112
"riches",12
"grandfather",1808
"wealth",102
"sundays",83
"heavenly",193
"hope",801
"nice",412
"fabulous",58
"million",889
"magical",59
"kids",418
"awarded",89
"mothers",132
"daughters",189
"friend's",87
"parents",5203
"valentine's",92
"generosity",23
"grateful",48
"inspired",186
"favorable",27
"dance",2006
"fantasies",30
"cares",76
"melody",51
"intelligent",91
"wonderland",14
"liberation",49
"satisfaction",35
"beloved",184
"homemade",64
"movies",677
"satisfy",28
"precious",89
"inspiring",21
"caring",67
"respect",125
"wedding",7849
"cuddle",1
"lovely",114
"games",415
"united",6957
"proud",97
"championship",77
"life",3597
"comfortable",287
"accomplished",54
"adorable",28
"grandson",1106
"pretty",378
"rose",1345
"fruits",43
"hahah",0
"dollars",159
"generous",76
"couple",5441
"passion",213
"golden",483
"prosperity",16
"sweetie",0
"valentines",2
"eating",210
"luxury",262
"remarkable",121
"lover",86
"adventure",146
"hooray",4
"money",1345
"intelligence",254
"fortune",177
"gently",66
"educated",35
"helped",425
"books",1629
"moon",192
"great-grandchildren",14
"satisfied",32
"cookies",45
"cherished",59
"bride",23529
"god",285
"sunday",1525
"glow",35
"perfectly",157
"luckily",24
"likes",237
"baby",333
"dessert",205
"employed",144
"independence",148
"juicy",15
"millions",90
"gladly",13
"progress",101
"play",1518
"greatest",186
"dreaming",21
"divine",195
"hearts",213
"musicians",346
"savings",369
"championships",56
"luck",114
"foods",366
"fresh",475
"passionate",85
"mama",26
"helpful",46
"gardens",743
"computer",2848
"liberty",229
"reward",17
"appreciation",63
"bloom",278
"hahahah",0
"book",1687
"promoted",38
"impressed",151
"companion",124
"nature",398
"gentle",103
"warmth",58
"bliss",87
"xmas",1
"pal",47
"child",1138
"kind",981
"knowledge",131
"health",4067
"relaxed",71
"films",1063
"musical",1062
"darling",38
"amazed",38
"star",642
"yummy",2
"pets",37
"appreciate",88
"danced",154
"trust",1716
"guitar",207
"honor",2460
"garden",2303
"sweeter",3
"encouraging",42
"graduated",64488
"heart",1253
"energy",615
"confidence",82
"like",6896
"salary",29
"brother",1122
"approved",48
"wishes",55
"presents",141
"libraries",49
"prizes",88
"luv",2
"ecstasy",17
"comforted",8
"google",13
"cartoon",97
"perfection",32
"ladies",80
"benefits",424
"good",2420
"special",2453
"eternal",28
"discount",182
"cool",232
"comfy",5
"genuine",62
"leisure",141
"travel",2488
"rest",587
"meal",218
"helping",216
"fiesta",13
"imagine",172
"best",3713
"awards",516
"respected",35
"alive",132
"promise",105
"bed",331
"coffee",452
"sunset",154
"granddaughter",1664
"attracted",134
"heroes",56
"sleep",133
"skies",20
"spring",1665
"abundant",14
"oceans",19
"ideas",238
"devoted",266
"liked",360
"welcome",131
"favourite",1
"pizza",92
"paid",262
"lovin",0
"home",5217
"adoring",21
"strawberry",30
"summertime",13
"brighter",16
"opportunity",293
"fireworks",59
"honored",443
"1st",0
"children's",1635
"parks",372
"journey",172
"playing",650
"shine",35
"cure",63
"wealthy",60
"fruit",157
"woman's",151
"women",1805
"inspire",21
"valuable",51
"superman",13
"laptop",10
"children",3176
"juice",83
"partners",1207
"son",42194
"stronger",59
"appreciated",60
"tree",329
"birth",161
"artistic",413
"resort",725
"fridays",37
"computers",196
"admiration",31
"freely",33
"wise",157
"dream",261
"snack",47
"carnival",69
"yum",5
"quality",562
"dearest",7
"stars",400
"rabbit",38
"cutie",2
"plants",307
"cookie",44
"toys",134
"useful",72
"glowing",27
"confident",82
"shopping",336
"sincere",29
"improvements",33
"princess",187
"memories",126
"bless",12
"faith",247
"thrill",31
"sparkle",15
"true",516
"comic",188
"earned",240
"desirable",25
"cooking",297
"equality",28
"dancing",1216
"powerful",211
"pet",81
"park",5490
"qualities",65
"graduate",12017
"wonder",191
"clever",54
"talent",265
"everlasting",6
"strong",533
"father",67446
"hehehe",0
"pictures",584
"sharing",101
"restaurant",2423
"tenderness",7
"idea",602
"weddings",24338
"talented",94
"sandwich",94
"grand",936
"charm",98
"caress",7
"mamma",5
"pearl",395
"dove",56
"impressive",115
"cherry",348
"safe",169
"girlfriend",162
"eat",309
"daughter",41051
"yoga",78
"favorite",430
"shining",40
"scholarship",231
"loyalty",24
"awsome",0
"sunrise",56
"hoping",130
"relationship",843
"parent",225
"sleeping",106
"productivity",20
"respects",27
"wisdom",56
"fairy",57
"humanity",50
"dollar",208
"goal",134
"daddy",17
"olympics",96
"brave",34
"fans",227
"colours",1
"inspiration",85
"dad",118
"saints",132
"correct",83
"easily",256
"hawaii",302
"honestly",27
"color",525
"believed",79
"colors",233
"hopes",140
