word,count
"laughter",1072
"happiness",712
"love",27511
"happy",17342
"laughed",2922
"laugh",3234
"laughing",2412
"laughs",535
"excellent",4553
"joy",3592
"successful",10235
"win",94897
"smile",7565
"won",128695
"rainbow",815
"pleasure",1714
"smiled",3949
"rainbows",131
"winning",57007
"celebration",4276
"healthy",8949
"enjoyed",4443
"music",9826
"celebrating",1921
"congratulations",578
"weekend",17363
"rich",8423
"celebrate",3012
"jokes",1070
"comedy",994
"victory",114880
"free",52758
"loves",2601
"christmas",2976
"fun",11346
"holidays",598
"friendship",2249
"loved",9329
"loving",23689
"sunshine",1093
"kissing",217
"beach",13132
"hahaha",0
"friends",23406
"butterflies",355
"sweetest",220
"delicious",451
"vacation",2103
"paradise",562
"outstanding",6029
"funny",3993
"beautiful",4543
"freedom",2276
"sweetheart",317
"great",64657
"sunlight",447
"flower",959
"sweetness",193
"success",17722
"chocolate",782
"peace",4059
"heaven",1404
"award",10709
"hahahaha",0
"splendid",952
"enjoying",2103
"kissed",473
"attraction",1176
"sun",5878
"hugs",475
"hero",4715
"positive",11079
"celebrated",4089
"delight",1129
"blessed",1664
"fantastic",1050
"winner",26369
"birthday",3974
"honesty",629
"butterfly",938
"smiles",1171
"entertainment",3253
"sky",2814
"wonderful",5472
"beauty",2813
"funniest",91
"succeed",2602
"kisses",353
"promotion",1523
"glorious",1159
"gift",2655
"romantic",734
"family",52612
"humor",3806
"cupcakes",20
"hahahahaha",0
"weekends",1270
"relax",2074
"festival",2379
"honour",141
"mother",27881
"holiday",2547
"lucky",4462
"bonus",5118
"super",25650
"b-day",1
"angel",1836
"diamonds",429
"brilliant",3590
"enjoy",5541
"friendly",2300
"profit",1258
"mother's",1118
"angels",8440
"friend",23800
"finest",1818
"amazing",3423
"grandmother",11933
"kitten",35
"sweet",3450
"champion",38208
"miracle",1733
"bday",0
"mom",2359
"kiss",747
"haha",1
"winners",7972
"millionaire",509
"bright",4203
"excited",5461
"successfully",1943
"entertaining",1366
"excitement",3057
"blessings",179
"cutest",15
"succeeded",1895
"joke",2102
"prize",4721
"shines",202
"genius",1247
"awesome",1754
"party",5471
"puppy",200
"smiling",3322
"succeeding",510
"income",2366
"song",3117
"cake",799
"cheers",2216
"victories",22711
"tasty",112
"achievement",2119
"exciting",4380
"goodness",566
"hug",915
"easier",5785
"billion",2875
"achieved",2740
"gifts",1928
"gold",23051
"cakes",170
"flowers",10313
"merry",260
"lovers",352
"families",4558
"handsome",933
"affection",989
"roses",859
"candy",977
"diamond",1644
"peacefully",3417
"earnings",1990
"cute",473
"interesting",4798
"saturdays",551
"relaxing",579
"praise",2068
"faithful",762
"heavens",181
"optimistic",2563
"glory",2433
"cherish",726
"moonlight",131
"extraordinary",3155
"earn",7248
"peaceful",490
