word,count
"laughter",134
"happiness",198
"love",4982
"happy",1632
"laughed",325
"laugh",481
"laughing",243
"laughs",83
"excellent",511
"joy",410
"successful",1012
"win",667
"smile",584
"won",1691
"rainbow",293
"pleasure",448
"smiled",311
"rainbows",19
"winning",596
"celebration",598
"healthy",470
"enjoyed",349
"music",4556
"celebrating",481
"congratulations",54
"weekend",1604
"rich",1429
"celebrate",795
"jokes",272
"comedy",647
"victory",283
"free",2458
"loves",427
"christmas",1556
"fun",1711
"holidays",406
"friendship",349
"loved",770
"loving",464
"sunshine",130
"kissing",103
"beach",2204
"hahaha",0
"friends",5411
"butterflies",160
"sweetest",16
"delicious",209
"vacation",601
"paradise",182
"outstanding",181
"funny",636
"beautiful",1832
"freedom",618
"sweetheart",53
"great",4339
"sunlight",184
"flower",1284
"sweetness",73
"success",1426
"chocolate",803
"peace",640
"heaven",191
"award",1820
"hahahaha",0
"splendid",105
"enjoying",250
"kissed",106
"attraction",224
"sun",1282
"hugs",64
"hero",198
"positive",479
"celebrated",497
"delight",173
"blessed",91
"fantastic",183
"winner",475
"birthday",1259
"honesty",65
"butterfly",183
"smiles",127
"entertainment",1115
"sky",429
"wonderful",948
"beauty",1658
"funniest",41
"succeed",224
"kisses",114
"promotion",258
"glorious",141
"gift",1144
"romantic",695
"family",5015
"humor",546
"cupcakes",42
"hahahahaha",0
"weekends",475
"relax",195
"festival",798
"honour",1
"mother",3847
"holiday",1160
"lucky",472
"bonus",117
"super",318
"b-day",0
"angel",219
"diamonds",594
"brilliant",367
"enjoy",658
"friendly",376
"profit",254
"mother's",588
"angels",158
"friend",3070
"finest",143
"amazing",380
"grandmother",467
"kitten",33
"sweet",1083
"champion",395
"miracle",123
"bday",0
"mom",545
"kiss",311
"haha",0
"winners",452
"millionaire",97
"bright",1311
"excited",275
"successfully",204
"entertaining",278
"excitement",271
"blessings",26
"cutest",6
"succeeded",188
"joke",360
"prize",633
"shines",22
"genius",170
"awesome",81
"party",6975
"puppy",87
"smiling",239
"succeeding",51
"income",537
"song",868
"cake",574
"cheers",99
"victories",42
"tasty",68
"achievement",277
"exciting",357
"goodness",88
"hug",164
"easier",785
"billion",777
"achieved",252
"gifts",601
"gold",2370
"cakes",182
"flowers",2697
"merry",84
"lovers",248
"families",1130
"handsome",405
"affection",158
"roses",640
"candy",426
"diamond",1204
"peacefully",45
"earnings",197
"cute",348
"interesting",1017
"saturdays",177
"relaxing",98
"praise",180
"faithful",106
"heavens",29
"optimistic",147
"glory",226
"cherish",33
"moonlight",34
"extraordinary",335
"earn",218
"peaceful",88
"romance",435
"hilarious",72
"cupcake",23
"congrats",2
"comfort",609
"feast",123
"glad",214
"x-mas",0
