word,count
"laughter",0
"happiness",0
"love",2
"happy",0
"laughed",0
"laugh",0
"laughing",0
"laughs",0
"excellent",0
"joy",0
"successful",0
"win",0
"smile",0
"won",0
"rainbow",0
"pleasure",0
"smiled",0
"rainbows",0
"winning",0
"celebration",0
"healthy",0
"enjoyed",0
"music",0
"celebrating",0
"congratulations",0
"weekend",0
"rich",0
"celebrate",0
"jokes",0
"comedy",0
"victory",0
"free",2
"loves",0
"christmas",0
"fun",0
"holidays",0
"friendship",0
"loved",0
"loving",0
"sunshine",0
"kissing",0
"beach",0
"hahaha",0
"friends",0
"butterflies",0
"sweetest",0
"delicious",0
"vacation",0
"paradise",0
"outstanding",0
"funny",0
"beautiful",0
"freedom",0
"sweetheart",0
"great",0
"sunlight",0
"flower",0
"sweetness",0
"success",0
"chocolate",0
"peace",1
"heaven",0
"award",0
"hahahaha",0
"splendid",0
"enjoying",0
"kissed",0
"attraction",0
"sun",0
"hugs",0
"hero",0
"positive",0
"celebrated",0
"delight",0
"blessed",0
"fantastic",0
"winner",0
"birthday",0
"honesty",0
"butterfly",0
"smiles",0
"entertainment",0
"sky",0
"wonderful",0
"beauty",1
"funniest",0
"succeed",0
"kisses",0
"promotion",0
"glorious",0
"gift",0
"romantic",0
"family",0
"humor",0
"cupcakes",0
"hahahahaha",0
"weekends",0
"relax",0
"festival",0
"honour",0
"mother",0
"holiday",0
"lucky",1
"bonus",0
"super",0
"b-day",0
"angel",0
"diamonds",0
"brilliant",0
"enjoy",0
"friendly",0
"profit",0
"mother's",0
"angels",0
"friend",0
"finest",0
"amazing",0
"grandmother",0
"kitten",0
"sweet",0
"champion",0
"miracle",0
"bday",0
"mom",0
"kiss",0
"haha",0
"winners",0
"millionaire",0
"bright",0
"excited",0
"successfully",0
"entertaining",0
"excitement",0
"blessings",0
"cutest",0
"succeeded",0
"joke",0
"prize",0
"shines",0
"genius",0
"awesome",0
"party",0
"puppy",0
"smiling",0
"succeeding",0
"income",0
"song",0
"cake",0
"cheers",0
"victories",0
"tasty",0
"achievement",1
"exciting",0
"goodness",0
"hug",0
"easier",0
"billion",0
"achieved",0
"gifts",0
"gold",0
"cakes",0
"flowers",0
"merry",0
"lovers",0
"families",0
"handsome",0
"affection",0
"roses",0
"candy",0
"diamond",0
"peacefully",0
"earnings",0
"cute",0
"interesting",1
"saturdays",0
"relaxing",0
"praise",0
"faithful",0
"heavens",0
"optimistic",1
"glory",0
"cherish",0
"moonlight",0
"extraordinary",0
"earn",0
"peaceful",0
"romance",0
"hilarious",0
"cupcake",0
"congrats",0
"comfort",0
"feast",0
"glad",0
"x-mas",0
"internet",1
"profits",0
"grandma",0
"smart",1
"pleasant",0
"attractive",0
"loyal",0
"babies",0
"jewels",0
"cheer",0
"honest",0
"wow",0
"opportunities",0
"courage",0
"enthusiasm",0
"triumph",0
"forests",0
"starlight",0
"sing",0
"honey",0
"thankful",0
"sex",0
"fantasy",0
"dreams",0
"food",0
"apple",0
"wins",0
"miracles",0
"truth",0
"incredible",0
"achieve",0
"adored",0
"mommy",0
"saturday",2
"grandchildren",0
"gorgeous",0
"dances",0
"lunch",0
"cash",0
"perfect",0
"parties",0
"surprise",0
"blessing",0
"sexy",0
"treasure",0
"dinner",0
"kindness",0
"thanks",0
"pleased",0
"thanksgiving",0
"thank",0
"creative",1
"strength",0
"valentine",0
"riches",0
"grandfather",0
"wealth",0
"sundays",0
"heavenly",0
"hope",0
"nice",0
"fabulous",0
"million",0
"magical",0
"kids",0
"awarded",0
"mothers",0
"daughters",0
"friend's",0
"parents",1
"valentine's",0
"generosity",0
"grateful",0
"inspired",0
"favorable",0
"dance",0
"fantasies",0
"cares",0
"melody",0
"intelligent",0
"wonderland",0
"liberation",0
"satisfaction",0
"beloved",0
"homemade",0
"movies",0
"satisfy",0
"precious",0
"inspiring",0
"caring",0
"respect",0
"wedding",0
"cuddle",0
"lovely",0
"games",0
"united",0
"proud",0
"championship",0
"life",6
"comfortable",0
"accomplished",0
"adorable",0
"grandson",0
"pretty",0
"rose",0
"fruits",0
"hahah",0
"dollars",0
"generous",0
"couple",0
"passion",0
"golden",0
"prosperity",0
"sweetie",0
"valentines",0
"eating",0
"luxury",0
"remarkable",0
"lover",0
"adventure",0
"hooray",0
"money",0
"intelligence",0
"fortune",0
"gently",0
"educated",0
"helped",0
"books",0
"moon",0
"great-grandchildren",0
"satisfied",0
"cookies",0
"cherished",0
"bride",0
"god",1
"sunday",2
"glow",0
"perfectly",0
"luckily",0
"likes",0
"baby",0
"dessert",0
"employed",0
"independence",0
"juicy",0
"millions",0
"gladly",0
"progress",0
"play",0
"greatest",1
"dreaming",0
"divine",0
"hearts",0
"musicians",0
"savings",0
"championships",0
"luck",0
"foods",0
"fresh",0
"passionate",0
"mama",0
"helpful",0
"gardens",0
"computer",0
"liberty",0
"reward",0
"appreciation",0
"bloom",0
"hahahah",0
"book",0
"promoted",0
"impressed",0
"companion",0
"nature",0
"gentle",0
"warmth",0
"bliss",0
"xmas",0
"pal",0
"child",0
"kind",0
"knowledge",0
"health",0
"relaxed",0
"films",0
"musical",0
"darling",0
"amazed",0
"star",0
"yummy",0
"pets",0
"appreciate",0
"danced",0
"trust",0
"guitar",0
"honor",0
"garden",0
"sweeter",0
"encouraging",0
"graduated",0
"heart",0
"energy",0
"confidence",0
"like",0
"salary",0
"brother",0
"approved",0
"wishes",0
"presents",0
"libraries",0
"prizes",0
"luv",0
"ecstasy",1
"comforted",0
"google",0
"cartoon",0
"perfection",0
"ladies",0
"benefits",0
"good",0
"special",0
"eternal",0
"discount",0
"cool",0
"comfy",0
"genuine",0
"leisure",0
"travel",3
"rest",0
"meal",0
"helping",0
"fiesta",0
"imagine",0
"best",1
"awards",0
"respected",0
"alive",0
"promise",0
"bed",0
"coffee",0
"sunset",0
"granddaughter",0
"attracted",0
"heroes",0
"sleep",0
"skies",0
"spring",0
"abundant",0
"oceans",0
"ideas",0
"devoted",0
"liked",0
"welcome",0
"favourite",0
"pizza",0
"paid",0
"lovin",0
"home",2
"adoring",0
"strawberry",0
"summertime",0
"brighter",0
"opportunity",0
"fireworks",0
"honored",0
"1st",0
"children's",0
"parks",6
"journey",0
"playing",0
"shine",0
"cure",0
"wealthy",0
"fruit",0
"woman's",0
"women",0
"inspire",0
"valuable",0
"superman",0
"laptop",0
"children",0
"juice",0
"partners",0
"son",0
"stronger",0
"appreciated",0
"tree",0
"birth",0
"artistic",0
"resort",0
"fridays",0
"computers",0
"admiration",0
"freely",0
"wise",0
"dream",0
"snack",0
"carnival",4
"yum",0
"quality",0
"dearest",0
"stars",0
"rabbit",0
"cutie",0
"plants",0
"cookie",0
"toys",0
"useful",0
"glowing",0
"confident",0
"shopping",0
"sincere",0
"improvements",0
"princess",0
"memories",1
"bless",1
"faith",0
"thrill",0
"sparkle",0
"true",0
"comic",0
"earned",0
"desirable",0
"cooking",0
"equality",0
"dancing",0
"powerful",0
"pet",0
"park",3
"qualities",0
"graduate",0
"wonder",0
"clever",0
"talent",0
"everlasting",0
"strong",1
"father",0
"hehehe",0
"pictures",0
"sharing",0
"restaurant",0
"tenderness",0
"idea",1
"weddings",0
"talented",0
"sandwich",0
"grand",0
"charm",0
"caress",0
"mamma",0
"pearl",0
"dove",0
"impressive",0
"cherry",0
"safe",0
"girlfriend",0
"eat",0
"daughter",1
"yoga",0
"favorite",0
"shining",0
"scholarship",0
"loyalty",0
"awsome",0
"sunrise",0
"hoping",0
"relationship",0
"parent",0
"sleeping",0
"productivity",0
"respects",0
"wisdom",0
"fairy",0
"humanity",0
"dollar",0
"goal",0
"daddy",0
"olympics",0
"brave",0
"fans",0
"colours",0
"inspiration",0
"dad",0
"saints",0
"correct",1
"easily",0
"hawaii",0
"honestly",0
"color",0
"believed",0
"colors",0
"hopes",0
"gentlemen",0
"better",0
"praised",0
"noble",0
"trip",2
"determination",0
"hello",0
"dad's",0
"girl",0
"discovered",0
"harmony",0
"reliable",0
"trees",0
"lullaby",0
"brothers",0
"concerts",0
"cooperation",0
"giving",0
"agreed",0
"photography",0
"intellectual",0
"trips",0
"encouraged",0
"approval",0
"outdoors",0
"marry",0
"musician",0
"rome",0
"wildlife",0
"goals",0
"thrills",0
"unique",0
"ideal",0
"invitation",0
"plenty",0
"songs",1
"present",0
"elegant",0
"imagination",0
"great-grandfather",0
"safely",0
"benefit",0
"birds",0
"praying",0
"saving",0
"bath",0
"sunny",0
"fancy",0
"eternally",0
"dads",0
"theater",3
"adore",0
"abroad",0
"singing",0
"reunion",0
"improving",0
"terrific",0
"mountains",0
"ocean",0
"pancakes",0
"gentleman",0
"vanilla",0
"fair",0
"photograph",0
"photos",0
"autumn",0
"cozy",0
"piano",0
"massage",0
"concert",0
"outdoor",0
"correctly",0
"sea",0
"earns",0
"trusted",0
"gardening",0
"girls",0
"dear",0
"college",0
"earning",0
"cinema",0
"spa",0
"unity",0
"albums",0
"secure",0
"wish",0
"youtube",0
"favour",0
"promote",0
"learning",0
"favored",0
"game",0
"fitness",0
"prayers",0
"healing",0
"learned",0
"dignity",0
"eternity",0
"necklace",0
"encourage",0
"jewelry",0
"worthy",0
"paintings",1
"fulfill",0
"dynamic",0
"stability",0
"voyage",0
"clean",0
"infant",0
"pure",0
"flavor",0
"silk",0
"pillow",0
"infants",0
"breeze",0
"accuracy",0
"vitamin",0
"saved",1
"bookstores",0
"taste",0
"comics",0
"easter",0
"bunny",0
"survived",0
"valued",0
"donated",0
"female",0
"moms",0
"photo",0
"email",0
"shakespeare",0
"cheese",0
"farmer",0
"friday",0
"education",0
"dreamed",0
"photographs",0
"sailing",0
"relationships",0
"breakfast",0
"understands",0
"truly",0
"improved",0
"greatly",0
"dancer",0
"toast",0
"liking",0
"#music",0
"pasta",0
"recipes",0
"cooperative",0
"independent",0
"paris",0
"guarantee",0
"platinum",0
"seas",0
"grace",0
"banana",0
"improvement",1
"science",0
"relief",0
"acceptance",0
"superstar",0
"live",1
"daylight",0
"advantage",0
"woohoo",0
"kid",0
"discover",0
"horses",0
"solution",0
"forgiveness",0
"sail",0
"popularity",0
"hopefully",0
"universe",0
"accurately",0
"great-grandmother",0
"belonging",0
"toy",0
"childhood",1
"rivers",0
"buddy",0
"swim",0
"interested",0
"woman",0
"movie",2
"understanding",0
"lol",0
"cared",0
"first",1
"born",1
"active",0
"gains",0
"young",1
"prevail",0
"babe",0
"new",6
"surprisingly",0
"compassion",0
"singer",0
"champagne",0
"completed",0
"dedicated",0
"significant",0
"create",0
"mansion",0
"heal",0
"believes",0
"fathers",0
"experienced",1
"artists",0
"qualified",0
"animal",0
"shared",0
"forgiven",0
"horse",1
"magic",0
"elevated",0
"smooth",0
"air",0
"santa",0
"bedroom",0
"protect",0
"novels",0
"highest",0
"cream",0
"pies",0
"efficient",0
"naturally",0
"uncle",0
"dreamer",0
"manners",0
"together",0
"amazon",0
"camera",0
"performers",0
"effectiveness",0
"painting",0
"dogs",0
"pie",0
"raindrops",0
"finished",0
"coolest",0
"mom's",0
"visions",0
"pool",0
"jukebox",0
"glee",0
"esteemed",0
"wonders",0
"variety",0
"guaranteed",0
"creation",0
"real",0
"green",0
"museums",0
"reading",0
"coke",0
"sons",0
"heartbeat",0
"ruby",0
"completion",0
"worth",0
"island",1
"traveling",0
"medal",0
"cafe",0
"share",0
"pearls",0
"shop",0
"humans",0
"supporter",0
"style",1
"popcorn",0
"plus",1
"rhyme",0
"easy",0
"effective",0
"savior",0
"married",0
"sister",0
"future",0
"america",1
"seasons",0
"top",0
"oxygen",0
"intimate",0
"switzerland",0
"papa",0
"tenderly",0
"muffin",0
"courtesy",0
"raise",0
"prepared",0
"mankind",0
"surprising",0
"justice",0
"donate",0
"convenient",0
"merit",0
"wishing",0
"treat",0
"integrity",0
"fine",0
"artist",0
"lake",0
"university",0
"american",0
"hi",0
"father's",0
"technology",0
"guitars",0
"capable",0
"romeo",0
"plant",0
"performance",0
"yes",0
"complete",0
"mentor",0
"shiny",0
"drinks",0
"sugar",0
"allright",0
"focused",0
"desires",0
"wished",0
"revenue",0
"shower",0
"warm",0
"momma",0
"attract",0
"orchestra",0
"car",2
"knowing",0
"confirmed",0
"classy",0
"villages",0
"niece",0
"tremendous",0
"costumes",0
"neat",0
"creating",0
"spiritual",0
"finish",0
"values",0
"lifelong",0
"4-bedroom",0
"gallery",1
"civilization",0
"culture",0
"plays",0
"online",1
"surprised",0
"bike",0
"secured",0
"valid",0
"hallelujah",0
"doggy",0
"candle",0
"learn",0
"grandsons",0
"teaches",0
"bucks",0
"florida",0
"dog",0
"agree",0
"anniversary",0
"antiques",0
"mum",0
"treats",0
"productive",0
"marriage",0
"tv",0
"cruise",2
"partner",0
"believe",1
"water",0
"dine",0
"hired",0
"rockin",0
"grants",0
"dancers",0
"brains",0
"invention",0
"grin",0
"virtues",0
"skating",0
"sensation",0
"thanx",0
"pianist",0
"mercy",0
"river",0
"famous",0
"greater",0
"potential",0
"well",1
"forest",0
"scotland",0
"ability",0
"tours",2
"liberties",0
"theatre",0
"privilege",0
"fountain",0
