word,count
"laughter",199
"happiness",198
"love",2181
"happy",948
"laughed",115
"laugh",230
"laughing",135
"laughs",68
"excellent",261
"joy",235
"successful",1257
"win",2029
"smile",295
"won",2643
"rainbow",82
"pleasure",289
"smiled",83
"rainbows",4
"winning",844
"celebration",271
"healthy",590
"enjoyed",403
"music",2294
"celebrating",166
"congratulations",50
"weekend",1125
"rich",1619
"celebrate",276
"jokes",351
"comedy",403
"victory",1720
"free",4183
"loves",188
"christmas",797
"fun",577
"holidays",214
"friendship",219
"loved",423
"loving",298
"sunshine",75
"kissing",62
"beach",1069
"hahaha",0
"friends",2003
"butterflies",30
"sweetest",12
"delicious",93
"vacation",389
"paradise",148
"outstanding",168
"funny",358
"beautiful",525
"freedom",1787
"sweetheart",37
"great",5183
"sunlight",93
"flower",122
"sweetness",19
"success",1951
"chocolate",219
"peace",4553
"heaven",212
"award",482
"hahahaha",0
"splendid",87
"enjoying",151
"kissed",40
"attraction",170
"sun",743
"hugs",23
"hero",548
"positive",744
"celebrated",346
"delight",109
"blessed",113
"fantastic",83
"winner",456
"birthday",281
"honesty",120
"butterfly",40
"smiles",102
"entertainment",765
"sky",367
"wonderful",407
"beauty",406
"funniest",21
"succeed",600
"kisses",38
"promotion",239
"glorious",116
"gift",463
"romantic",279
"family",4983
"humor",376
"cupcakes",0
"hahahahaha",0
"weekends",213
"relax",132
"festival",443
"honour",4
"mother",1744
"holiday",491
"lucky",293
"bonus",166
"super",341
"b-day",0
"angel",139
"diamonds",125
"brilliant",242
"enjoy",502
"friendly",456
"profit",473
"mother's",211
"angels",119
"friend",1338
"finest",130
"amazing",183
"grandmother",195
"kitten",7
"sweet",294
"champion",322
"miracle",162
"bday",0
"mom",277
"kiss",190
"haha",2
"winners",285
"millionaire",119
"bright",456
"excited",129
"successfully",368
"entertaining",130
"excitement",202
"blessings",34
"cutest",2
"succeeded",467
"joke",388
"prize",628
"shines",24
"genius",169
"awesome",78
"party",8947
"puppy",19
"smiling",167
"succeeding",101
"income",2122
"song",643
"cake",144
"cheers",91
"victories",245
"tasty",48
"achievement",338
"exciting",192
"goodness",59
"hug",49
"easier",1076
"billion",5679
"achieved",487
"gifts",315
"gold",916
"cakes",47
"flowers",340
"merry",36
"lovers",178
"families",2352
"handsome",143
"affection",122
"roses",59
"candy",133
"diamond",183
"peacefully",116
"earnings",328
"cute",106
"interesting",617
"saturdays",80
"relaxing",57
"praise",313
"faithful",212
"heavens",69
"optimistic",348
"glory",218
"cherish",26
"moonlight",12
"extraordinary",615
"earn",482
"peaceful",420
"romance",225
"hilarious",37
"cupcake",0
"congrats",1
"comfort",430
"feast",62
"glad",139
"x-mas",0
"internet",2041
"profits",812
"grandma",39
"smart",428
"pleasant",191
"attractive",424
"loyal",355
"babies",417
"jewels",44
"cheer",112
"honest",335
"wow",46
"opportunities",627
"courage",263
"enthusiasm",344
"triumph",372
"forests",322
"starlight",5
"sing",209
"honey",85
"thankful",23
"sex",1730
"fantasy",279
"dreams",357
"food",3189
"apple",340
"wins",346
"miracles",91
"truth",1366
"incredible",152
"achieve",652
"adored",67
"mommy",38
"saturday",747
"grandchildren",235
"gorgeous",58
"dances",69
"lunch",634
"cash",1052
"perfect",742
"parties",2507
"surprise",894
"blessing",164
"sexy",99
"treasure",144
"dinner",915
"kindness",55
"thanks",480
"pleased",244
"thanksgiving",135
"thank",293
"creative",460
"strength",875
"valentine",15
"riches",115
"grandfather",200
"wealth",882
"sundays",111
"heavenly",30
"hope",2639
"nice",574
"fabulous",77
"million",11345
"magical",93
"kids",1046
"awarded",299
"mothers",585
"daughters",254
"friend's",41
"parents",2233
"valentine's",41
"generosity",96
"grateful",133
"inspired",463
"favorable",230
"dance",527
"fantasies",113
"cares",154
"melody",42
"intelligent",259
"wonderland",27
"liberation",652
"satisfaction",195
"beloved",468
"homemade",85
"movies",1147
"satisfy",213
"precious",212
"inspiring",80
"caring",165
"respect",997
"wedding",228
"cuddle",3
"lovely",130
"games",1093
"united",20542
"proud",402
"championship",184
"life",7721
"comfortable",573
"accomplished",301
"adorable",23
"grandson",82
"pretty",1143
"rose",1170
"fruits",121
"hahah",0
"dollars",1955
"generous",367
"couple",971
"passion",348
"golden",466
"prosperity",585
"sweetie",9
"valentines",3
"eating",494
"luxury",479
"remarkable",535
"lover",175
"adventure",198
"hooray",5
"money",8190
"intelligence",3017
"fortune",363
"gently",123
"educated",390
"helped",2416
"books",2056
"moon",305
"great-grandchildren",29
"satisfied",250
"cookies",70
"cherished",217
"bride",94
"god",1401
"sunday",2989
"glow",96
"perfectly",360
"luckily",42
"likes",465
"baby",999
"dessert",106
"employed",324
"independence",1215
"juicy",45
"millions",1916
"gladly",49
"progress",1167
"play",2641
"greatest",911
"dreaming",49
"divine",147
"hearts",311
"musicians",167
"savings",1022
"championships",62
"luck",267
"foods",329
"fresh",888
"passionate",177
"mama",32
"helpful",229
"gardens",262
"computer",2477
"liberty",447
"reward",281
"appreciation",156
"bloom",149
"hahahah",0
"book",3746
"promoted",263
"impressed",197
"companion",159
"nature",1567
"gentle",172
"warmth",104
"bliss",43
"xmas",1
"pal",42
"child",2383
"kind",4327
"knowledge",758
"health",5856
"relaxed",181
"films",793
"musical",528
"darling",55
"amazed",54
"star",1250
"yummy",0
"pets",103
"appreciate",222
"danced",89
"trust",1149
"guitar",83
"honor",600
"garden",606
"sweeter",16
"encouraging",450
"graduated",130
"heart",2082
"energy",2429
"confidence",885
"like",25639
"salary",345
"brother",774
"approved",1157
"wishes",219
"presents",297
"libraries",192
"prizes",124
"luv",2
"ecstasy",37
"comforted",27
"google",152
"cartoon",262
"perfection",66
"ladies",126
"benefits",2011
"good",7774
"special",2761
"eternal",138
"discount",241
"cool",473
"comfy",8
"genuine",353
"leisure",128
"travel",1787
"rest",2067
"meal",380
"helping",859
"fiesta",18
"imagine",888
"best",4783
"awards",412
"respected",302
"alive",635
"promise",1086
"bed",495
"coffee",572
"sunset",98
"granddaughter",48
"attracted",363
"heroes",344
"sleep",416
"skies",127
"spring",1324
"abundant",105
"oceans",78
"ideas",2491
"devoted",614
"liked",354
"welcome",625
"favourite",2
"pizza",232
"paid",2121
"lovin",0
"home",6212
"adoring",49
"strawberry",49
"summertime",28
"brighter",58
"opportunity",1404
"fireworks",63
"honored",133
"1st",0
"children's",499
"parks",646
"journey",273
"playing",1295
"shine",63
"cure",243
"wealthy",618
"fruit",332
"woman's",234
"women",7173
"inspire",178
"valuable",371
"superman",55
"laptop",69
"children",6367
"juice",175
"partners",628
"son",1419
"stronger",622
"appreciated",110
"tree",477
"birth",831
"artistic",221
"resort",540
"fridays",58
"computers",1053
"admiration",109
"freely",309
"wise",274
"dream",785
"snack",69
"carnival",101
"yum",7
"quality",1137
"dearest",27
"stars",863
"rabbit",91
"cutie",2
"plants",1023
"cookie",40
"toys",241
"useful",603
"glowing",44
"confident",362
"shopping",636
"sincere",104
"improvements",289
"princess",234
"memories",499
"bless",64
"faith",1096
"thrill",89
"sparkle",14
"true",2519
"comic",263
"earned",530
"desirable",143
"cooking",238
"equality",241
"dancing",213
"powerful",2111
"pet",249
"park",2215
"qualities",184
"graduate",544
"wonder",962
"clever",194
"talent",351
"everlasting",8
"strong",2842
"father",1964
"hehehe",0
"pictures",733
"sharing",343
"restaurant",944
"tenderness",10
"idea",3594
"weddings",60
"talented",111
"sandwich",77
"grand",1426
"charm",171
"caress",4
"mamma",5
"pearl",277
"dove",51
"impressive",265
"cherry",80
"safe",1116
"girlfriend",92
"eat",787
"daughter",854
"yoga",28
"favorite",752
"shining",161
"scholarship",176
"loyalty",344
"awsome",0
"sunrise",27
"hoping",660
"relationship",1778
"parent",424
"sleeping",272
"productivity",454
"respects",177
"wisdom",572
"fairy",62
"humanity",297
"dollar",957
"goal",1405
"daddy",68
"olympics",287
"brave",182
"fans",920
"colours",1
"inspiration",186
"dad",166
"saints",128
"correct",508
"easily",1255
"hawaii",286
"honestly",79
"color",650
"believed",1428
"colors",296
"hopes",1234
"gentlemen",64
"better",5143
"praised",309
"noble",270
"trip",1314
"determination",305
"hello",99
"dad's",20
"girl",700
"discovered",852
"harmony",168
"reliable",367
"trees",714
"lullaby",8
"brothers",551
"concerts",148
"cooperation",821
"giving",1916
"agreed",2193
"photography",140
"intellectual",665
"trips",442
"encouraged",581
"approval",895
"outdoors",75
"marry",231
"musician",75
"rome",474
"wildlife",454
"goals",873
"thrills",25
"unique",479
"ideal",448
"invitation",238
"plenty",650
"songs",478
"present",1502
"elegant",238
"imagination",330
"great-grandfather",26
"safely",191
"benefit",1103
"birds",356
"praying",57
"saving",393
"bath",161
"sunny",151
"fancy",159
"eternally",18
"dads",28
"theater",972
"adore",16
"abroad",1062
"singing",245
"reunion",65
"improving",369
"terrific",80
"mountains",469
"ocean",484
"pancakes",34
"gentleman",108
"vanilla",40
"fair",1071
"photograph",331
"photos",196
"autumn",132
"cozy",98
"piano",163
"massage",109
"concert",285
"outdoor",177
"correctly",123
"sea",1289
"earns",95
"trusted",228
"gardening",32
"girls",708
"dear",384
"college",2545
"earning",238
"cinema",102
"spa",77
"unity",612
"albums",114
"secure",528
"wish",638
"youtube",40
"favour",0
"promote",649
"learning",687
"favored",511
"game",2262
"fitness",128
"prayers",106
"healing",150
"learned",1405
"dignity",247
"eternity",44
"necklace",29
"encourage",771
"jewelry",163
"worthy",204
"paintings",321
"fulfill",130
"dynamic",280
"stability",771
"voyage",93
"clean",968
"infant",214
"pure",361
"flavor",123
"silk",149
"pillow",28
"infants",120
"breeze",52
"accuracy",160
"vitamin",68
"saved",381
"bookstores",90
"taste",492
"comics",79
"easter",154
"bunny",58
"survived",538
"valued",147
"donated",171
"female",880
"moms",86
"photo",280
"email",3
"shakespeare",166
"cheese",226
"farmer",178
"friday",2051
"education",3405
"dreamed",117
"photographs",498
"sailing",117
"relationships",477
"breakfast",423
"understands",195
"truly",714
"improved",480
"greatly",356
"dancer",71
"toast",87
"liking",47
"#music",0
"pasta",64
"recipes",66
"cooperative",192
"independent",1923
"paris",1031
"guarantee",593
"platinum",48
"seas",122
"grace",255
"banana",95
"improvement",353
"science",2270
"relief",987
"acceptance",396
"superstar",64
"live",3136
"daylight",92
"advantage",1050
"woohoo",0
"kid",332
"discover",277
"horses",185
"solution",1019
"forgiveness",129
"sail",80
"popularity",631
"hopefully",76
"universe",537
"accurately",133
"great-grandmother",25
"belonging",111
"toy",175
"childhood",358
"rivers",233
"buddy",103
"swim",112
"interested",813
"woman",2633
"movie",1799
"understanding",745
"lol",0
"cared",143
"first",16522
"born",1347
"active",732
"gains",688
"young",4265
"prevail",207
"babe",116
"new",42913
"surprisingly",446
"compassion",151
"singer",287
"champagne",100
"completed",504
"dedicated",294
"significant",1343
"create",1997
"mansion",158
"heal",101
"believes",1042
"fathers",287
"experienced",483
"artists",639
"qualified",254
"animal",666
"shared",790
"forgiven",89
"horse",326
"magic",386
"elevated",150
"smooth",219
"air",3816
"santa",448
"bedroom",179
"protect",1517
"novels",220
"highest",940
"cream",255
"pies",40
"efficient",460
"naturally",352
"uncle",241
"dreamer",4
"manners",108
"together",2795
"amazon",167
"camera",472
"performers",155
"effectiveness",195
"painting",315
"dogs",439
"pie",205
"raindrops",0
"finished",412
"coolest",9
"mom's",15
"visions",248
"pool",538
"jukebox",19
"glee",48
"esteemed",27
"wonders",177
"variety",689
"guaranteed",334
"creation",707
"real",4973
"green",1151
"museums",304
"reading",982
"coke",87
"sons",367
"heartbeat",21
"ruby",42
"completion",90
"worth",1618
"island",1944
"traveling",413
"medal",171
"cafe",242
"share",1835
"pearls",29
"shop",606
"humans",513
"supporter",254
"style",1153
"popcorn",109
"plus",714
"rhyme",41
"easy",1941
"effective",1121
"savior",62
"married",795
"sister",503
"future",3770
"america",5967
"seasons",203
"top",3357
"oxygen",113
"intimate",218
"switzerland",316
"papa",34
"tenderly",8
"muffin",6
"courtesy",97
"raise",1764
"prepared",1087
"mankind",107
"surprising",683
"justice",4609
"donate",103
"convenient",164
"merit",180
"wishing",62
"treat",544
"integrity",308
"fine",1091
"artist",376
"lake",690
"university",8556
"american",23819
"hi",37
"father's",237
"technology",2665
"guitars",28
"capable",486
"romeo",37
"plant",1069
"performance",1157
"yes",1368
"complete",921
"mentor",92
"shiny",57
"drinks",243
"sugar",376
"allright",0
"focused",749
"desires",101
"wished",123
"revenue",663
"shower",137
"warm",413
"momma",2
"attract",434
"orchestra",174
"car",2612
"knowing",498
"confirmed",434
"classy",17
"villages",386
"niece",27
"tremendous",315
"costumes",80
"neat",104
"creating",993
"spiritual",441
"finish",304
"values",1382
"lifelong",97
"4-bedroom",0
"gallery",322
"civilization",285
"culture",2488
"plays",661
"online",594
"surprised",539
"bike",88
"secured",120
"valid",170
"hallelujah",8
"doggy",5
"candle",37
"learn",1171
"grandsons",9
"teaches",370
"bucks",59
"florida",1392
"dog",679
"agree",1732
"anniversary",537
"antiques",86
"mum",23
"treats",101
"productive",206
"marriage",1138
"tv",992
"cruise",483
"partner",706
"believe",4221
"water",2819
"dine",40
"hired",484
"rockin",0
"grants",381
"dancers",148
"brains",194
"invention",166
"grin",38
"virtues",144
"skating",82
"sensation",74
"thanx",0
"pianist",83
"mercy",154
"river",1172
"famous",975
"greater",2031
"potential",1983
"well",9140
"forest",693
"scotland",203
"ability",1695
"tours",482
"liberties",488
"theatre",23
"privilege",254
"fountain",120
"desire",778
"grow",1006
"goodmorning",0
"proceed",209
"palace",477
"power",9119
"promised",1222
"heritage",396
"animals",835
"ace",54
"novel",783
"bake",44
"shares",389
"museum",1559
"living",2500
"landscape",492
"lyrics",172
"bridegroom",8
"candles",80
"acceptable",428
"possibilities",286
"accurate",372
"raises",653
"charms",34
"television",4809
"greet",65
"assets",528
"aunt",119
"powers",1250
"approve",374
"nieces",46
"dedication",74
"sculpture",162
"competent",123
"currency",893
"eligible",267
"tour",978
"motivation",139
"tea",315
"dvd",62
"personality",464
"career",1192
