word,count
"laughter",273
"happiness",175
"love",6215
"happy",1391
"laughed",72
"laugh",413
"laughing",222
"laughs",252
"excellent",1573
"joy",545
"successful",1194
"win",587
"smile",390
"won",1444
"rainbow",394
"pleasure",719
"smiled",51
"rainbows",18
"winning",463
"celebration",1009
"healthy",220
"enjoyed",374
"music",18094
"celebrating",441
"congratulations",13
"weekend",4491
"rich",2387
"celebrate",569
"jokes",562
"comedy",3358
"victory",292
"free",7223
"loves",548
"christmas",2315
"fun",1658
"holidays",295
"friendship",412
"loved",641
"loving",569
"sunshine",63
"kissing",80
"beach",1455
"hahaha",0
"friends",2375
"butterflies",114
"sweetest",25
"delicious",1062
"vacation",293
"paradise",375
"outstanding",459
"funny",1918
"beautiful",2210
"freedom",751
"sweetheart",90
"great",6507
"sunlight",135
"flower",478
"sweetness",295
"success",1220
"chocolate",1538
"peace",448
"heaven",501
"award",1081
"hahahaha",0
"splendid",454
"enjoying",177
"kissed",39
"attraction",464
"sun",922
"hugs",29
"hero",987
"positive",331
"celebrated",590
"delight",454
"blessed",145
"fantastic",193
"winner",557
"birthday",637
"honesty",123
"butterfly",232
"smiles",182
"entertainment",1620
"sky",1010
"wonderful",1523
"beauty",1458
"funniest",162
"succeed",276
"kisses",77
"promotion",134
"glorious",263
"gift",860
"romantic",1806
"family",5777
"humor",1676
"cupcakes",10
"hahahahaha",0
"weekends",693
"relax",114
"festival",5306
"honour",4
"mother",3527
"holiday",1024
"lucky",374
"bonus",92
"super",147
"b-day",0
"angel",544
"diamonds",156
"brilliant",745
"enjoy",588
"friendly",547
"profit",123
"mother's",420
"angels",482
"friend",2035
"finest",458
"amazing",396
"grandmother",372
"kitten",45
"sweet",2890
"champion",220
"miracle",253
"bday",0
"mom",320
"kiss",471
"haha",0
"winners",320
"millionaire",62
"bright",1664
"excited",164
"successfully",220
"entertaining",496
"excitement",387
"blessings",17
"cutest",7
"succeeded",191
"joke",458
"prize",674
"shines",85
"genius",401
"awesome",94
"party",1806
"puppy",42
"smiling",252
"succeeding",70
"income",119
"song",2225
"cake",1144
"cheers",62
"victories",34
"tasty",430
"achievement",481
"exciting",590
"goodness",85
"hug",51
"easier",287
"billion",165
"achieved",447
"gifts",394
"gold",1206
"cakes",454
"flowers",1155
"merry",145
"lovers",727
"families",727
"handsome",1105
"affection",344
"roses",267
"candy",368
"diamond",437
"peacefully",32
"earnings",39
"cute",325
"interesting",1760
"saturdays",3298
"relaxing",83
"praise",221
"faithful",215
"heavens",58
"optimistic",154
"glory",357
"cherish",45
"moonlight",98
"extraordinary",1244
"earn",122
"peaceful",162
"romance",957
"hilarious",289
"cupcake",11
"congrats",0
"comfort",389
"feast",195
"glad",159
"x-mas",1
"internet",85
"profits",129
"grandma",98
"smart",560
"pleasant",732
"attractive",636
"loyal",162
"babies",174
"jewels",121
"cheer",133
"honest",204
"wow",57
"opportunities",293
"courage",225
"enthusiasm",351
"triumph",354
"forests",143
"starlight",45
"sing",1191
"honey",343
"thankful",10
"sex",1387
"fantasy",851
"dreams",861
"food",5066
"apple",1024
"wins",168
"miracles",104
"truth",738
"incredible",200
"achieve",320
"adored",121
"mommy",38
"saturday",4282
"grandchildren",307
"gorgeous",356
"dances",1023
"lunch",3295
"cash",476
"perfect",1483
"parties",434
"surprise",933
"blessing",118
"sexy",214
"treasure",254
"dinner",4640
"kindness",56
"thanks",554
"pleased",187
"thanksgiving",150
"thank",173
"creative",772
"strength",613
"valentine",156
"riches",78
"grandfather",348
"wealth",214
"sundays",3137
"heavenly",166
"hope",1280
"nice",1232
"fabulous",309
"million",5617
"magical",402
"kids",707
"awarded",197
"mothers",204
"daughters",385
"friend's",92
"parents",1833
"valentine's",69
"generosity",126
"grateful",161
"inspired",1336
"favorable",87
"dance",6050
"fantasies",302
"cares",180
"melody",320
"intelligent",351
"wonderland",108
"liberation",188
"satisfaction",105
"beloved",766
"homemade",422
"movies",2685
"satisfy",115
"precious",273
"inspiring",109
"caring",135
"respect",535
"wedding",555
"cuddle",13
"lovely",785
"games",1189
"united",3505
"proud",361
"championship",123
"life",10885
"comfortable",928
"accomplished",347
"adorable",107
"grandson",102
"pretty",1548
"rose",1194
"fruits",176
"hahah",0
"dollars",219
"generous",467
"couple",1824
"passion",1107
"golden",997
"prosperity",39
"sweetie",56
"valentines",21
"eating",622
"luxury",282
"remarkable",943
"lover",743
